pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
12B;2251;l;Fernglas;0;Kamera;0
23B;3981;l;Saege;0;Hammer;0
7C;3408;r;Thermoskanne;0;Toaster ;0
10A;3703;l;Buerste;0;Brille;0
21D;3603;r;Stift;0;Handy;0
5C;2257;r;Blackroll;0;Foehn;1
18D;2618;r;Ukulele;0;Handbesen;0
13B;3162;l;Laptop;1;Buch;0
22D;3512;r;Elefant;1;Feder;0
11C;3274;r;Stuhl;0;Eimer;0
17A;3168;l;Erdbeeren;0;Schuh;0
15A;2691;l;Wasserglas;0;Handtuch;0
4A;3613;l;Kiste;0;Ventilator;0
1D;2843;r;Melone;0;Orange;0
25A;3147;l;Kaffeemuehle;0;Kerze;0
6D;2904;r;Globus;0;Obstschale;0
8A;3513;l;Uhr;1;Marmelade;0
20B;3828;l;Schuessel;0;Kissen;0
14D;3276;r;Kopfhoerer;0;Ordner;0
19A;2959;l;Trommel;0;Hut;0
2A;3410;l;Locher;0;Zollstock ;0
9C;2750;r;Wasserflasche;1;Tasse;1
26B;3976;l;Taschenlampe;0;Gluehbirne;0
3B;2251;l;Stethoskop;1;Fahrradhelm;0
16B;2310;l;Muetze;0;Geldbeutel;0
24A;2870;l;Kanne;0;Blume;0
