pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
3C;2344;r;Stethoskop;1;Fahrradhelm;1
16C;2675;r;Muetze;1;Geldbeutel;0
19C;3264;r;Hut;1;Trommel;1
23B;2701;l;Saege;0;Hammer;0
5C;2501;r;Blackroll;1;Foehn;0
20B;2740;l;Schuessel;0;Kissen;1
8A;3023;l;Uhr;1;Marmelade;1
26A;3426;l;Gluehbirne;1;Taschenlampe;1
14B;3753;l;Ordner;1;Kopfhoerer;0
4A;3781;l;Kiste;0;Ventilator;0
18B;3946;l;Handbesen;0;Ukulele;1
6C;2534;r;Obstschale;1;Globus;0
21B;2123;l;Handy;0;Stift;1
9B;2142;l;Wasserflasche;1;Tasse;0
15A;3539;l;Wasserglas;1;Handtuch;1
7A;2025;l;Toaster ;0;Thermoskanne;0
11A;2213;l;Eimer;0;Stuhl;0
10C;2759;r;Brille;1;Buerste;0
25B;3043;l;Kerze;0;Kaffemuehle;0
12A;2790;l;Kamera;0;Fernglas;0
17A;2507;l;Erdbeeren;0;Schuh;0
2B;3637;l;Zollstock;0;Locher;1
13C;3964;r;Laptop;0;Buch;0
22C;3504;r;Feder;0;Elefant;0
24A;3854;l;Kanne;1;Blume;1
1B;2678;l;Orange;1;Melone;1
