pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
23B;2930;l;Saege;1;Hammer;1
9A;3350;l;Tasse;1;Wasserflasche;0
22C;2684;r;Feder;1;Elefant;1
8C;3150;r;Marmelade;0;Uhr;0
16C;2111;r;Muetze;1;Geldbeutel;0
13D;2149;r;Buch;1;Laptop;1
17B;3807;l;Schuh;0;Erdbeeren;0
2A;3669;l;Locher;1;Zollstock ;0
10B;2845;l;Brille;0;Buerste;0
12B;2080;l;Fernglas;1;Kamera;1
7A;3470;l;Toaster ;1;Thermoskanne;0
19D;3728;r;Trommel;1;Hut;1
25C;3157;r;Kerze;0;Kaffeemuehle;0
11B;3208;l;Stuhl;0;Eimer;0
20B;2914;l;Schuessel;0;Kissen;1
14C;2842;r;Ordner;1;Kopfhoerer;0
6B;2813;l;Obstschale;1;Globus;1
24C;3081;r;Blume;1;Kanne;0
4A;3613;l;Kiste;1;Ventilator;1
21C;3403;r;Handy;1;Stift;0
15C;3296;r;Handtuch;1;Wasserglas;1
26A;3952;l;Gluehbirne;0;Taschenlampe;0
18A;2826;l;Ukulele;1;Handbesen;0
1B;2579;l;Orange;1;Melone;1
3C;3421;r;Stethoskop;1;Fahrradhelm;1
5C;3688;r;Blackroll;0;Foehn;0
