pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
17C;2746;r;Schuh;1;Erdbeeren;1
25D;2519;r;Kaffemuehle;0;Kerze;0
7A;2612;l;Toaster ;0;Thermoskanne;0
26C;2372;r;Taschenlampe;1;Gluehbirne;0
10D;2190;r;Buerste;0;Brille;0
13A;2335;l;Buch;0;Laptop;1
18D;2528;r;Ukulele;0;Handbesen;0
14D;2015;r;Kopfhoerer;0;Ordner;0
15A;3457;l;Wasserglas;0;Handtuch;0
2C;2936;r;Zollstock ;0;Locher;0
11D;2316;r;Eimer;0;Stuhl;0
21B;2794;l;Handy;0;Stift;0
22B;2488;l;Feder;0;Elefant;0
8D;2388;r;Uhr;0;Marmelade;0
12A;3196;l;Kamera;0;Fernglas;1
9A;3320;l;Tasse;0;Wasserflasche;0
16C;3833;r;Muetze;0;Geldbeutel;0
6C;2432;r;Obstschale;1;Globus;0
5B;2507;l;Blackroll;1;Foehn;0
23B;3383;l;Saege;1;Hammer;1
20B;3674;l;Schuessel;1;Kissen;0
1B;2031;l;Orange;0;Melone;0
19C;2080;r;Hut;1;Trommel;1
24D;3146;r;Kanne;0;Blume;0
3A;3899;l;Fahrradhelm;0;Stethoskop;0
4D;3138;r;Kiste ;0;Ventilator;0
