pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
19A;2567;l;Trommel;0;Hut;0
15C;3449;r;Handtuch;0;Wasserglas;0
8C;3830;r;Marmelade;0;Uhr;0
22D;3566;r;Elefant;1;Feder;0
24A;3297;l;Kanne;0;Blume;0
12A;2383;l;Kamera;1;Fernglas;0
13A;2203;l;Buch;1;Laptop;1
17D;3734;r;Erdbeeren;0;Schuh;0
16C;2273;r;Muetze;0;Geldbeutel;0
1A;3118;l;Melone;0;Orange;0
11C;2050;r;Stuhl;0;Eimer;0
5D;3735;r;Foehn;0;Blackroll;0
2D;2544;r;Locher;0;Zollstock;1
20B;2844;l;Schuessel;0;Kissen;1
7A;2059;l;Toaster ;0;Thermoskanne;0
25D;2209;r;Kaffemuehle;0;Kerze;0
26C;3028;r;Taschenlampe;0;Gluehbirne;0
10D;3019;r;Buerste;0;Brille;0
14D;3307;r;Kopfhoerer;0;Ordner;0
6C;2615;r;Obstschale;0;Globus;0
4D;3411;r;Kiste ;0;Ventilator;1
9A;2830;l;Tasse;0;Wasserflasche;0
18B;3717;l;Handbesen;0;Ukulele;0
3A;2810;l;Fahrradhelm;0;Stethoskop;1
21B;2179;l;Handy;0;Stift;0
23C;2999;r;Hammer;0;Saege;0
