pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
4D;3691;r;Kiste ;0;Ventilator;0
16A;3647;l;Geldbeutel;0;Muetze;0
6D;2549;r;Globus;1;Obstschale;0
2D;3649;r;Locher;0;Zollstock;0
24B;2029;l;Blume;0;Kanne ;0
18B;3360;l;Handbesen;0;Ukulele;0
21B;3639;l;Handy;0;Stift;0
14D;3429;r;Kopfhoerer;0;Ordner;1
19D;2603;r;Trommel;1;Hut;0
26B;3351;l;Taschenlampe;0;Gluehbirne;0
15B;3722;l;Handtuch;0;Wasserglas;0
9A;2395;l;Tasse;0;Wasserflasche;1
7B;2355;l;Thermoskanne;0;Toaster;0
22B;3680;l;Feder;0;Elefant;1
23B;3553;l;Saege;1;Hammer;1
1D;3706;r;Melone;1;Orange;1
13D;3937;r;Buch;0;Laptop;1
8A;3750;l;Uhr;0;Marmelade;0
10A;3042;l;Buerste;0;Brille;0
3A;2626;l;Fahrradhelm;1;Stethoskop;1
17B;3622;l;Schuh;1;Erdbeeren;0
12C;2157;r;Fernglas;0;Kamera;0
25B;2918;l;Kerze;1;Kaffemuehle;0
5C;3957;r;Blackroll;1;Foehn;0
11C;3544;r;Stuhl;0;Eimer;0
20A;3129;l;Kissen;0;Schuessel;1
