pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
10D;3278;r;Buerste;0;Brille;0
13B;3667;l;Laptop;0;Buch;0
8B;3314;l;Marmelade;0;Uhr;1
14D;3195;r;Kopfhoerer;0;Ordner;0
19C;2428;r;Hut;0;Trommel;0
18C;3365;r;Handbesen;0;Ukulele;0
23A;3801;l;Hammer;0;Säege;0
17C;3802;r;Schuh;0;Erdbeeren;0
21D;2522;r;Stift;0;Handy;1
24B;3892;l;Blume;0;Kanne ;0
2D;2672;r;Locher;0;Zollstock;0
7C;2535;r;Thermoskanne;0;Toaster ;0
16A;3557;l;Geldbeutel;0;Muetze;0
4B;3600;l;Ventilator;0;Kiste ;0
11D;3135;r;Eimer;0;Stuhl;0
6B;2266;l;Obstschale;0;Globus;1
5A;2316;l;Foehn;0;Blackroll;0
20C;3933;r;Schuessel;0;Kissen;0
1A;2819;l;Melone;0;Orange;0
3D;2080;r;Fahrradhelm;0;Stethoskop;1
26A;2013;l;Gluehbirne;0;Taschenlampe;0
9D;3551;r;Tasse;1;Wasserflasche;1
12B;2513;l;Fernglas;0;Kamera;1
22D;2915;r;Elefant;0;Feder;0
25B;2349;l;Kerze;0;Kaffemuehle;0
15A;2417;l;Wasserglas;0;Handtuch;0
