pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
7D;2274;r;Toaster;0;Thermoskanne;0
2D;2227;r;Locher;0;Zollstock;0
4A;2514;l;Kiste;0;Ventilator;0
8A;2502;l;Uhr;0;Marmelade;0
13A;2078;l;Buch;1;Laptop;0
24B;2625;l;Blume;0;Kanne ;0
12B;3238;l;Fernglas;0;Kamera;0
22C;3030;r;Feder;0;Elefant;0
19B;2845;l;Hut;0;Trommel;0
9B;2093;l;Wasserflasche;0;Tasse;0
21D;2497;r;Stift;1;Handy;1
16D;2030;r;Geldbeutel;0;Muetze;0
5C;3023;r;Blackroll;0;Foehn;0
20A;3006;l;Kissen;0;Schuessel;0
14A;2813;l;Kopfhoerer;0;Ordner;0
18A;2082;l;Ukulele;0;Handbesen;0
3A;3347;l;Fahrradhelm;0;Stethoskop;0
17B;2668;l;Schuh;1;Erdbeeren;1
11D;3018;r;Eimer;1;Stuhl;0
15D;2921;r;Wasserglas;1;Handtuch;1
6B;3368;l;Obstschale;0;Globus;0
26A;3558;l;Gluehbirne;1;Taschenlampe;1
10A;2301;l;Buerste;0;Brille;0
25C;3413;r;Kerze;0;Kaffeemuehle;0
23C;2786;r;Hammer;1;Saege;1
1B;2432;l;Orange;1;Melone;1
