pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
4B;3864;l;Ventilator;0;Kiste ;0
24C;3971;r;Blume;0;Kanne;0
7B;2564;l;Thermoskanne;0;Toaster;1
18D;3768;r;Ukulele;0;Handbesen;0
5A;3970;l;Foehn;0;Blackroll;0
14D;3607;r;Kopfhoerer;0;Ordner;1
19D;2708;r;Trommel;0;Hut;1
15D;2385;r;Wasserglas;0;Handtuch;0
8D;2579;r;Uhr;0;Marmelade;1
16D;2123;r;Geldbeutel;0;Muetze;0
13A;2122;l;Buch;0;Laptop;0
12D;2225;r;Kamera;0;Fernglas;0
25D;2355;r;Kaffemuehle;1;Kerze;0
6D;2019;r;Globus;0;Obstschale;0
1B;3766;l;Orange;0;Melone;1
22B;3821;l;Feder;1;Elefant;1
26B;2467;l;Taschenlampe;0;Gluehbirne;0
23D;2815;r;Saege;1;Hammer;1
21D;2822;r;Stift;1;Handy;1
10A;2669;l;Buerste;1;Brille;1
2D;2833;r;Locher;0;Zollstock;0
17D;3765;r;Erdbeeren;1;Schuh;0
3D;3708;r;Fahrradhelm;0;Stethoskop;0
9C;2081;r;Wasserflasche;1;Tasse;1
20D;2821;r;Kissen;1;Schuessel;0
11D;2100;r;Eimer;0;Stuhl;1
