pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
2A;2704;l;Locher;0;Zollstock ;0
15D;3991;r;Wasserglas;0;Handtuch;0
7D;3449;r;Toaster;0;Thermoskanne;0
18D;2415;r;Ukulele;0;Handbesen;0
12D;3205;r;Kamera;0;Fernglas;0
4C;3494;r;Ventilator;0;Kiste;1
9A;3327;l;Tasse;0;Wasserflasche;0
10D;3881;r;Buerste;0;Brille;1
14C;2810;r;Ordner;0;Kopfhoerer;1
21D;3202;r;Stift;1;Handy;0
17C;3536;r;Schuh;0;Erdbeeren;0
8C;2033;r;Marmelade;0;Uhr;0
16C;3246;r;Muetze;0;Geldbeutel;0
19C;3578;r;Hut;0;Trommel;1
25D;2453;r;Kaffemuehle;1;Kerze;0
23C;3515;r;Hammer;0;Saege;0
24B;2824;l;Blume;0;Kanne ;0
6B;3766;l;Obstschale;0;Globus;0
22D;2104;r;Elefant;0;Feder;0
3D;3055;r;Fahrradhelm;0;Stethoskop;1
1B;3293;l;Orange;0;Melone;0
20D;2118;r;Kissen;0;Schuessel;0
5C;3765;r;Blackroll;0;Foehn;0
11B;3190;l;Stuhl;0;Eimer;0
26C;3930;r;Taschenlampe;0;Gluehbirne;0
13B;2664;l;Laptop;0;Buch;1
