pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
15A;3852;l;Wasserglas;0;Handtuch;1
11C;2053;r;Stuhl;1;Eimer;0
24A;3396;l;Kanne;0;Blume;0
20C;3195;r;Schuessel;0;Kissen;0
3C;3231;r;Stethoskop;0;Fahrradhelm;0
7D;2304;r;Toaster;0;Thermoskanne;0
1C;3919;r;Orange;1;Melone;1
19A;3556;l;Trommel;0;Hut;0
21D;2814;r;Stift;0;Handy;0
22C;3990;r;Feder;0;Elefant;0
23B;3288;l;Saege;0;Hammer;0
17C;2824;r;Schuh;1;Erdbeeren;0
25B;2405;l;Kerze;0;Kaffemuehle;1
2B;2162;l;Zollstock;0;Locher;1
12B;2977;l;Fernglas;0;Kamera;1
13C;3058;r;Laptop;1;Buch;0
16C;2926;r;Muetze;0;Geldbeutel;0
10A;2512;l;Buerste;1;Brille;1
5B;2197;l;Blackroll;0;Foehn;0
18C;2741;r;Handbesen;0;Ukulele;1
4A;2370;l;Kiste;0;Ventilator;1
9B;2591;l;Wasserflasche;0;Tasse;1
8C;2615;r;Marmelade;1;Uhr;0
6B;2994;l;Obstschale;0;Globus;1
14A;2653;l;Kopfhoerer;0;Ordner;1
26A;2837;l;Gluehbirne;0;Taschenlampe;0
