pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
16B;3607;l;Muetze;0;Geldbeutel;1
26D;2430;r;Gluehbirne;0;Taschenlampe;0
5D;2440;r;Foehn;0;Blackroll;0
9B;2532;l;Wasserflasche;0;Tasse;0
22B;3571;l;Feder;0;Elefant;0
4C;2180;r;Ventilator;0;Kiste;0
3C;2029;r;Stethoskop;0;Fahrradhelm;0
6C;3190;r;Obstschale;0;Globus;0
25A;3771;l;Kaffeemuehle;0;Kerze;0
18A;3963;l;Ukulele;0;Handbesen;0
12C;2016;r;Fernglas;1;Kamera;1
1B;2729;l;Orange;0;Melone;0
14B;2385;l;Ordner;1;Kopfhoerer;0
11B;2011;l;Stuhl;0;Eimer;0
2A;2897;l;Locher;0;Zollstock ;0
7B;2475;l;Thermoskanne;0;Toaster;0
10D;2564;r;Buerste;1;Brille;0
15D;2793;r;Wasserglas;0;Handtuch;0
21A;3703;l;Stift;0;Handy;0
23D;2127;r;Saege;0;Hammer;0
24A;3623;l;Kanne;0;Blume;1
17B;3091;l;Schuh;1;Erdbeeren;0
20D;2141;r;Kissen;0;Schuessel;0
8A;3161;l;Uhr;0;Marmelade;0
13C;3364;r;Laptop;0;Buch;1
19A;2014;l;Trommel;0;Hut;0
