pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
7A;3634;l;Toaster ;0;Thermoskanne;0
10B;3770;l;Brille;1;Buerste;0
18C;3207;r;Handbesen;0;Ukulele;0
8C;3685;r;Marmelade;0;Uhr;0
12A;2961;l;Kamera;1;Fernglas;1
5C;3922;r;Blackroll;0;Foehn;0
17C;3160;r;Schuh;1;Erdbeeren;1
22C;3883;r;Feder;0;Elefant;0
23B;2010;l;Saege;1;Hammer;1
13D;2874;r;Buch;1;Laptop;1
9D;2412;r;Tasse;0;Wasserflasche;1
19A;3966;l;Trommel;0;Hut;0
11D;2054;r;Eimer;1;Stuhl;0
21C;2437;r;Handy;0;Stift;0
1D;3343;r;Melone;0;Orange;0
26C;2502;r;Taschenlampe;0;Gluehbirne;0
3A;3696;l;Fahrradhelm;0;Stethoskop;0
2A;2085;l;Locher;0;Zollstock ;0
20A;2278;l;Kissen;1;Schuessel;0
16A;3107;l;Geldbeutel;0;Muetze;0
6C;2269;r;Obstschale;1;Globus;1
25D;2414;r;Kaffemuehle;1;Kerze;1
4B;3746;l;Ventilator;0;Kiste ;0
24C;2923;r;Blume;0;Kanne;0
15A;2996;l;Wasserglas;0;Handtuch;0
14C;3310;r;Ordner;0;Kopfhoerer;1
