pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
5A;3732;l;Foehn;1;Blackroll;0
9B;2569;l;Wasserflasche;0;Tasse;1
6A;2733;l;Globus;0;Obstschale;0
26B;2019;l;Taschenlampe;1;Gluehbirne;0
7C;2121;r;Thermoskanne;1;Toaster ;0
2A;3714;l;Locher;1;Zollstock ;0
25C;2724;r;Kerze;0;Kaffeemuehle;0
10D;2550;r;Buerste;1;Brille;0
15B;2469;l;Handtuch;0;Wasserglas;0
21A;2218;l;Stift;1;Handy;1
4A;3316;l;Kiste;1;Ventilator;1
19C;2276;r;Hut;1;Trommel;0
22D;3379;r;Elefant;0;Feder;0
1C;2232;r;Orange;1;Melone;1
11D;2870;r;Eimer;0;Stuhl;0
12D;2292;r;Kamera;1;Fernglas;1
18D;3527;r;Ukulele;1;Handbesen;0
14D;2211;r;Kopfhoerer;0;Ordner;1
24C;2990;r;Blume;1;Kanne;0
23D;3988;r;Saege;1;Hammer;1
8A;2276;l;Uhr;0;Marmelade;0
20B;2860;l;Schuessel;1;Kissen;0
3C;2545;r;Stethoskop;1;Fahrradhelm;0
16D;3858;r;Geldbeutel;0;Muetze;0
17B;2388;l;Schuh;0;Erdbeeren;0
13B;2983;l;Laptop;1;Buch;1
