pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
15B;2381;l;Handtuch;1;Wasserglas;1
13C;3068;r;Laptop;0;Buch;0
1A;2003;l;Melone;1;Orange;1
9A;3100;l;Tasse;1;Wasserflasche;1
10A;3335;l;Buerste;0;Brille;1
16C;2253;r;Muetze;0;Geldbeutel;0
18C;2461;r;Handbesen;0;Ukulele;1
11A;3881;l;Eimer;1;Stuhl;0
8A;3722;l;Uhr;0;Marmelade;0
17D;2108;r;Erdbeeren;1;Schuh;0
5A;2631;l;Foehn;0;Blackroll;0
21C;2824;r;Handy;1;Stift;1
26B;2980;l;Taschenlampe;0;Gluehbirne;0
19D;3420;r;Trommel;1;Hut;1
22B;3933;l;Feder;0;Elefant;1
20C;2749;r;Schuessel;1;Kissen;1
7B;2938;l;Thermoskanne;0;Toaster;0
25C;2693;r;Kerze;0;Kaffeemuehle;1
3D;3271;r;Fahrradhelm;1;Stethoskop;1
23D;2406;r;Saege;0;Hammer;0
14B;2271;l;Ordner;0;Kopfhoerer;0
4B;3868;l;Ventilator;0;Kiste ;0
12B;2323;l;Fernglas;0;Kamera;0
24B;3773;l;Blume;1;Kanne ;1
6C;2038;r;Obstschale;1;Globus;1
2A;2675;l;Locher;1;Zollstock ;1
