pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
18C;3544;r;Handbesen;0;Ukulele;0
8D;2623;r;Uhr;0;Marmelade;0
13B;3945;l;Laptop;0;Buch;0
3D;2678;r;Fahrradhelm;0;Stethoskop;0
14B;2536;l;Ordner;0;Kopfhoerer;0
26D;3046;r;Gluehbirne;0;Taschenlampe;0
20B;2389;l;Schuessel;0;Kissen;0
1A;2556;l;Melone;1;Orange;0
16B;2817;l;Muetze;0;Geldbeutel;0
6C;2636;r;Obstschale;0;Globus;0
19A;3777;l;Trommel;0;Hut;0
9D;3861;r;Tasse;1;Wasserflasche;0
21A;2736;l;Stift;0;Handy;0
5B;2311;l;Blackroll;0;Foehn;0
25B;2688;l;Kerze;0;Kaffemuehle;0
12D;3847;r;Kamera;1;Fernglas;1
17B;3495;l;Schuh;0;Erdbeeren;1
23D;3931;r;Saege;0;Hammer;1
4A;2922;l;Kiste;0;Ventilator;0
11C;2006;r;Stuhl;1;Eimer;0
15B;3232;l;Handtuch;0;Wasserglas;0
22C;3492;r;Feder;0;Elefant;0
24A;3094;l;Kanne;0;Blume;1
7B;3829;l;Thermoskanne;0;Toaster;1
2C;2085;r;Zollstock ;1;Locher;1
10A;3635;l;Buerste;0;Brille;1
