pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
10D;3095;r;Buerste;1;Brille;0
26A;2702;l;Gluehbirne;0;Taschenlampe;0
19B;2919;l;Hut;0;Trommel;0
7D;2547;r;Toaster;1;Thermoskanne;0
20B;3643;l;Schuessel;1;Kissen;1
12B;3966;l;Fernglas;1;Kamera;1
1D;2476;r;Melone;1;Orange;1
14B;2568;l;Ordner;1;Kopfhoerer;0
11D;2550;r;Eimer;0;Stuhl;0
21B;2674;l;Handy;1;Stift;1
8A;2881;l;Uhr;0;Marmelade;0
18A;2606;l;Ukulele;0;Handbesen;0
15B;3153;l;Handtuch;0;Wasserglas;0
6B;3885;l;Obstschale;0;Globus;0
22D;3676;r;Elefant;0;Feder;1
2A;3059;l;Locher;1;Zollstock ;1
16D;3657;r;Geldbeutel;0;Muetze;0
5B;2466;l;Blackroll;1;Foehn;1
23A;2023;l;Hammer;0;Säege;0
13B;3038;l;Laptop;0;Buch;0
4B;3423;l;Ventilator;0;Kiste ;0
3B;3682;l;Stethoskop;1;Fahrradhelm;0
24C;3160;r;Blume;0;Kanne;0
25B;2979;l;Kerze;0;Kaffemuehle;0
9A;3839;l;Tasse;1;Wasserflasche;0
17B;2254;l;Schuh;0;Erdbeeren;1
