pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
22C;2096;r;Feder;0;Elefant;0
18B;2922;l;Handbesen;0;Ukulele;0
12B;2979;l;Fernglas;0;Kamera;0
5B;2900;l;Blackroll;0;Foehn;1
10D;2903;r;Buerste;0;Brille;0
16D;3042;r;Geldbeutel;0;Muetze;0
9A;2254;l;Tasse;1;Wasserflasche;0
8D;2753;r;Uhr;1;Marmelade;0
17B;3740;l;Schuh;0;Erdbeeren;0
1D;3252;r;Melone;0;Orange;0
7A;3018;l;Toaster ;0;Thermoskanne;0
13A;2678;l;Buch;1;Laptop;0
21C;2876;r;Handy;0;Stift;0
20A;3763;l;Kissen;0;Schuessel;1
19D;2319;r;Trommel;0;Hut;0
2B;3895;l;Zollstock;0;Locher;0
26A;3285;l;Gluehbirne;0;Taschenlampe;0
15B;3524;l;Handtuch;0;Wasserglas;0
4A;3404;l;Kiste;0;Ventilator;1
23C;3559;r;Hammer;1;Saege;0
25D;2040;r;Kaffemuehle;0;Kerze;0
6B;2974;l;Obstschale;0;Globus;0
14C;2836;r;Ordner;0;Kopfhoerer;0
3D;2297;r;Fahrradhelm;0;Stethoskop;0
24D;3583;r;Kanne;0;Blume;0
11D;2027;r;Eimer;1;Stuhl;0
