pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
11D;3885;r;Eimer;1;Stuhl;0
13A;2396;l;Buch;0;Laptop;0
8D;2789;r;Uhr;0;Marmelade;0
23C;2707;r;Hammer;0;Saege;0
26D;3421;r;Gluehbirne;0;Taschenlampe;1
2A;2761;l;Locher;0;Zollstock ;0
9A;3049;l;Tasse;0;Wasserflasche;0
5B;2423;l;Blackroll;0;Foehn;0
3D;2535;r;Fahrradhelm;0;Stethoskop;0
10B;2088;l;Brille;0;Buerste;0
21A;2874;l;Stift;0;Handy;0
17C;3687;r;Schuh;0;Erdbeeren;0
18C;2566;r;Handbesen;0;Ukulele;0
16B;2395;l;Muetze;0;Geldbeutel;0
6D;3688;r;Globus;0;Obstschale;1
14B;2150;l;Ordner;0;Kopfhoerer;0
15D;2234;r;Wasserglas;0;Handtuch;0
4C;3817;r;Ventilator;0;Kiste;0
19B;2047;l;Hut;0;Trommel;0
22D;2177;r;Elefant;0;Feder;0
24A;2851;l;Kanne;0;Blume;0
7A;2469;l;Toaster ;0;Thermoskanne;0
20C;3452;r;Schuessel;0;Kissen;0
12B;2340;l;Fernglas;0;Kamera;0
1B;2390;l;Orange;1;Melone;0
25D;2450;r;Kaffemuehle;0;Kerze;0
