pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
25C;3258;r;Kerze;0;Kaffeemuehle;0
2C;2099;r;Zollstock ;0;Locher;0
7D;2349;r;Toaster;1;Thermoskanne;1
12B;3224;l;Fernglas;0;Kamera;0
3D;3249;r;Fahrradhelm;1;Stethoskop;1
6A;3508;l;Globus;1;Obstschale;1
15B;3576;l;Handtuch;1;Wasserglas;0
17C;3121;r;Schuh;1;Erdbeeren;0
24A;3175;l;Kanne;1;Blume;1
8B;3917;l;Marmelade;0;Uhr;0
26C;3313;r;Taschenlampe;0;Gluehbirne;0
9D;3880;r;Tasse;0;Wasserflasche;1
13B;2800;l;Laptop;0;Buch;0
18A;2222;l;Ukulele;1;Handbesen;0
4D;3375;r;Kiste ;1;Ventilator;0
19A;2119;l;Trommel;1;Hut;1
22C;2912;r;Feder;1;Elefant;1
23A;3487;l;Hammer;1;Saege;1
20A;3481;l;Kissen;0;Schuessel;0
10C;3795;r;Brille;0;Buerste;0
16D;3069;r;Geldbeutel;1;Muetze;0
1A;3326;l;Melone;1;Orange;1
21B;3392;l;Handy;0;Stift;0
5D;2579;r;Foehn;1;Blackroll;0
14B;2494;l;Ordner;0;Kopfhoerer;0
11A;3161;l;Eimer;1;Stuhl;1
