pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
20B;3593;l;Schuessel;0;Kissen;0
18C;2378;r;Handbesen;0;Ukulele;0
8D;2287;r;Uhr;1;Marmelade;0
13D;3495;r;Buch;1;Laptop;1
26D;3094;r;Gluehbirne;0;Taschenlampe;0
7B;2635;l;Thermoskanne;0;Toaster;1
1B;3487;l;Orange;0;Melone;0
9C;3094;r;Wasserflasche;0;Tasse;1
12A;3443;l;Kamera;1;Fernglas;0
2C;2481;r;Zollstock ;1;Locher;0
21A;3136;l;Stift;1;Handy;1
24D;2372;r;Kanne;0;Blume;0
17D;3125;r;Erdbeeren;0;Schuh;0
16C;3688;r;Muetze;0;Geldbeutel;1
11D;3451;r;Eimer;1;Stuhl;0
25D;3037;r;Kaffemuehle;0;Kerze;0
22B;3195;l;Feder;0;Elefant;0
4A;2168;l;Kiste;0;Ventilator;0
23D;2111;r;Saege;0;Hammer;1
15B;3410;l;Handtuch;0;Wasserglas;1
3B;2509;l;Stethoskop;0;Fahrradhelm;0
10D;2050;r;Buerste;0;Brille;0
6D;2773;r;Globus;0;Obstschale;0
19A;2276;l;Trommel;0;Hut;0
5D;3136;r;Foehn;0;Blackroll;0
14B;3360;l;Ordner;0;Kopfhoerer;0
