pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
16C;3474;r;Muetze;0;Geldbeutel;0
17C;3094;r;Schuh;0;Erdbeeren;0
9C;3897;r;Wasserflasche;0;Tasse;1
8C;2137;r;Marmelade;0;Uhr;0
24C;3845;r;Blume;1;Kanne;0
26D;3656;r;Gluehbirne;0;Taschenlampe;0
11A;2413;l;Eimer;0;Stuhl;1
13A;3683;l;Buch;1;Laptop;0
21C;2143;r;Handy;0;Stift;1
6D;2703;r;Globus;0;Obstschale;0
3C;2021;r;Stethoskop;0;Fahrradhelm;0
10C;2289;r;Brille;0;Buerste;0
19B;2256;l;Hut;0;Trommel;0
5B;3594;l;Blackroll;0;Foehn;0
20B;3154;l;Schuessel;1;Kissen;0
12B;3643;l;Fernglas;0;Kamera;0
1D;3775;r;Melone;1;Orange;0
22B;2407;l;Feder;0;Elefant;0
4A;3786;l;Kiste;0;Ventilator;0
15C;2152;r;Handtuch;0;Wasserglas;0
2D;2453;r;Locher;0;Zollstock;0
25D;2460;r;Kaffemuehle;0;Kerze;0
14A;3742;l;Kopfhoerer;0;Ordner;0
7D;3053;r;Toaster;0;Thermoskanne;0
18D;2326;r;Ukulele;0;Handbesen;0
23A;3456;l;Hammer;0;Saege;0
