pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
12C;3047;r;Fernglas;0;Kamera;0
4D;3416;r;Kiste ;0;Ventilator;0
9A;2981;l;Tasse;0;Wasserflasche;0
22C;3954;r;Feder;0;Elefant;0
16A;3547;l;Geldbeutel;0;Muetze;0
10C;2567;r;Brille;0;Buerste;0
5B;2561;l;Blackroll;0;Foehn;1
6A;3667;l;Globus;0;Obstschale;0
1B;2668;l;Orange;0;Melone;0
17D;3623;r;Erdbeeren;1;Schuh;0
21D;3656;r;Stift;0;Handy;0
7B;2825;l;Thermoskanne;0;Toaster;0
15B;2726;l;Handtuch;0;Wasserglas;0
26D;2744;r;Gluehbirne;0;Taschenlampe;0
13B;3110;l;Laptop;1;Buch;0
3B;3420;l;Stethoskop;0;Fahrradhelm;0
19A;2788;l;Trommel;0;Hut;0
20D;3063;r;Kissen;0;Schuessel;1
11D;3038;r;Eimer;0;Stuhl;1
24C;2662;r;Blume;0;Kanne;0
18A;2603;l;Ukulele;1;Handbesen;0
14D;2566;r;Kopfhoerer;0;Ordner;0
8D;3734;r;Uhr;0;Marmelade;0
23B;2904;l;Saege;0;Hammer;0
25A;3583;l;Kaffeemuehle;0;Kerze;0
2B;2722;l;Zollstock;1;Locher;0
