pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
23B;2098;l;Saege;1;Hammer;1
15C;3844;r;Handtuch;1;Wasserglas;1
22A;2875;l;Elefant;1;Feder;0
8A;2482;l;Uhr;0;Marmelade;0
25A;3173;l;Kaffeemuehle;0;Kerze;0
13B;2533;l;Laptop;1;Buch;1
17B;3918;l;Schuh;0;Erdbeeren;0
19D;3530;r;Trommel;0;Hut;1
9C;3961;r;Wasserflasche;1;Tasse;0
21D;2664;r;Stift;1;Handy;1
4C;3415;r;Ventilator;0;Kiste;1
1B;3035;l;Orange;0;Melone;0
20C;2261;r;Schuessel;0;Kissen;1
5B;2498;l;Blackroll;0;Foehn;0
14A;3247;l;Kopfhoerer;0;Ordner;1
3C;3859;r;Stethoskop;0;Fahrradhelm;0
6A;2223;l;Globus;0;Obstschale;0
2A;2908;l;Locher;0;Zollstock ;0
24C;3859;r;Blume;0;Kanne;0
26D;3421;r;Gluehbirne;1;Taschenlampe;1
12B;2539;l;Fernglas;0;Kamera;0
11C;3178;r;Stuhl;1;Eimer;1
10C;2679;r;Brille;0;Buerste;0
7A;2835;l;Toaster ;0;Thermoskanne;1
18A;3073;l;Ukulele;1;Handbesen;1
16A;3346;l;Geldbeutel;0;Muetze;0
