pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
16C;2703;r;Muetze;0;Geldbeutel;0
7C;3746;r;Thermoskanne;0;Toaster ;0
10A;2320;l;Buerste;0;Brille;0
12D;3647;r;Kamera;0;Fernglas;0
21B;3394;l;Handy;0;Stift;0
6B;3955;l;Obstschale;1;Globus;0
25A;3828;l;Kaffeemuehle;0;Kerze;1
20B;3835;l;Schuessel;1;Kissen;0
2A;3309;l;Locher;0;Zollstock ;1
23C;3264;r;Hammer;0;Saege;1
24C;2439;r;Blume;0;Kanne;0
15D;3234;r;Wasserglas;0;Handtuch;0
11C;2018;r;Stuhl;0;Eimer;1
22C;3923;r;Feder;0;Elefant;0
5B;3026;l;Blackroll;0;Foehn;0
9A;2353;l;Tasse;0;Wasserflasche;0
14D;3960;r;Kopfhoerer;0;Ordner;0
4A;2052;l;Kiste;0;Ventilator;1
3D;3061;r;Fahrradhelm;0;Stethoskop;0
13C;3209;r;Laptop;0;Buch;0
18B;3417;l;Handbesen;0;Ukulele;0
17A;2132;l;Erdbeeren;1;Schuh;1
19B;3173;l;Hut;0;Trommel;0
26D;3222;r;Gluehbirne;0;Taschenlampe;1
8C;2920;r;Marmelade;1;Uhr;1
1A;2552;l;Melone;1;Orange;0
