pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
10C;2352;r;Brille;0;Buerste;0
1A;3645;l;Melone;0;Orange;0
7C;2845;r;Thermoskanne;0;Toaster ;0
23C;3236;r;Hammer;0;Saege;1
2A;2080;l;Locher;0;Zollstock ;0
16C;2027;r;Muetze;0;Geldbeutel;0
13C;3867;r;Laptop;1;Buch;1
18D;3235;r;Ukulele;0;Handbesen;0
9B;3833;l;Wasserflasche;0;Tasse;0
4D;2270;r;Kiste ;0;Ventilator;0
26D;3167;r;Gluehbirne;0;Taschenlampe;0
20A;2305;l;Kissen;0;Schuessel;0
19C;2320;r;Hut;1;Trommel;0
21D;3692;r;Stift;0;Handy;0
22B;3987;l;Feder;0;Elefant;0
15B;3812;l;Handtuch;0;Wasserglas;0
5C;2455;r;Blackroll;0;Foehn;0
6D;3419;r;Globus;1;Obstschale;0
11C;3402;r;Stuhl;0;Eimer;0
25D;2988;r;Kaffemuehle;0;Kerze;0
24A;2163;l;Kanne;0;Blume;0
3C;2496;r;Stethoskop;0;Fahrradhelm;0
8D;2682;r;Uhr;0;Marmelade;0
17D;2195;r;Erdbeeren;1;Schuh;1
12D;3361;r;Kamera;0;Fernglas;0
14B;2468;l;Ordner;0;Kopfhoerer;0
