pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
24B;2883;l;Blume;0;Kanne ;0
4D;3662;r;Kiste ;0;Ventilator;0
21D;2149;r;Stift;0;Handy;0
25B;2773;l;Kerze;0;Kaffemuehle;0
16A;2229;l;Geldbeutel;0;Muetze;0
10B;3586;l;Brille;0;Buerste;0
13B;3430;l;Laptop;1;Buch;0
3D;2348;r;Fahrradhelm;0;Stethoskop;0
18D;3159;r;Ukulele;0;Handbesen;0
20B;2535;l;Schuessel;1;Kissen;1
15C;3936;r;Handtuch;0;Wasserglas;0
12A;3305;l;Kamera;1;Fernglas;1
5A;3927;l;Foehn;1;Blackroll;0
23C;2779;r;Hammer;1;Saege;0
14D;3091;r;Kopfhoerer;1;Ordner;0
7B;2808;l;Thermoskanne;0;Toaster;0
6A;2263;l;Globus;1;Obstschale;0
2D;2187;r;Locher;0;Zollstock;0
26C;3424;r;Taschenlampe;0;Gluehbirne;0
1B;2459;l;Orange;1;Melone;1
8C;2887;r;Marmelade;0;Uhr;0
22C;3090;r;Feder;0;Elefant;0
9C;2404;r;Wasserflasche;0;Tasse;1
17B;2450;l;Schuh;1;Erdbeeren;1
11D;2588;r;Eimer;1;Stuhl;1
19C;2191;r;Hut;0;Trommel;0
