pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
25C;2144;r;Kerze;0;Kaffeemuehle;0
14A;3865;l;Kopfhoerer;0;Ordner;0
12C;2427;r;Fernglas;0;Kamera;0
10D;3179;r;Buerste;0;Brille;0
4C;2458;r;Ventilator;0;Kiste;1
1A;2040;l;Melone;0;Orange;0
8D;2778;r;Uhr;0;Marmelade;0
17B;3644;l;Schuh;1;Erdbeeren;1
20A;2608;l;Kissen;1;Schuessel;0
7C;3408;r;Thermoskanne;0;Toaster ;0
13D;2316;r;Buch;0;Laptop;0
11D;3132;r;Eimer;0;Stuhl;0
24C;2543;r;Blume;1;Kanne;0
3C;2780;r;Stethoskop;1;Fahrradhelm;1
23A;2040;l;Hammer;1;Säege;0
6D;3981;r;Globus;0;Obstschale;0
5D;3044;r;Foehn;1;Blackroll;0
15D;3803;r;Wasserglas;0;Handtuch;1
18A;3721;l;Ukulele;0;Handbesen;0
21C;3477;r;Handy;1;Stift;1
16B;3527;l;Muetze;0;Geldbeutel;0
19C;2208;r;Hut;0;Trommel;0
2A;3353;l;Locher;1;Zollstock ;0
26D;3184;r;Gluehbirne;0;Taschenlampe;0
22D;2383;r;Elefant;0;Feder;0
9D;3627;r;Tasse;1;Wasserflasche;1
