pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
6A;2472;l;Globus;0;Obstschale;0
4B;3279;l;Ventilator;0;Kiste ;0
14A;2409;l;Kopfhoerer;0;Ordner;0
17A;3307;l;Erdbeeren;0;Schuh;0
23C;3786;r;Hammer;0;Saege;0
26C;2549;r;Taschenlampe;0;Gluehbirne;0
7D;2126;r;Toaster;0;Thermoskanne;0
20C;2871;r;Schuessel;0;Kissen;0
3C;3526;r;Stethoskop;0;Fahrradhelm;0
2D;3321;r;Locher;0;Zollstock;0
15A;2715;l;Wasserglas;0;Handtuch;0
8A;2978;l;Uhr;0;Marmelade;0
25B;2637;l;Kerze;0;Kaffemuehle;0
9B;3553;l;Wasserflasche;0;Tasse;0
12B;2093;l;Fernglas;0;Kamera;0
21A;3708;l;Stift;0;Handy;0
1C;3649;r;Orange;0;Melone;0
24A;3547;l;Kanne;0;Blume;0
10B;3932;l;Brille;0;Buerste;0
19B;2748;l;Hut;0;Trommel;0
18B;2380;l;Handbesen;0;Ukulele;0
13C;3032;r;Laptop;1;Buch;1
5A;3429;l;Foehn;1;Blackroll;1
22D;2585;r;Elefant;0;Feder;0
16D;2993;r;Geldbeutel;0;Muetze;0
11D;3224;r;Eimer;0;Stuhl;0
