pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
6A;3658;l;Globus;0;Obstschale;1
7B;2959;l;Thermoskanne;0;Toaster;1
15D;2330;r;Wasserglas;0;Handtuch;0
4A;3773;l;Kiste;1;Ventilator;0
26D;2771;r;Gluehbirne;0;Taschenlampe;0
12C;2568;r;Fernglas;0;Kamera;1
2A;2001;l;Locher;0;Zollstock ;0
21C;2288;r;Handy;1;Stift;0
16B;3499;l;Muetze;0;Geldbeutel;0
11C;3933;r;Stuhl;0;Eimer;1
22C;3606;r;Feder;0;Elefant;0
18D;3983;r;Ukulele;0;Handbesen;0
1B;3250;l;Orange;0;Melone;0
3B;3731;l;Stethoskop;0;Fahrradhelm;0
13D;3036;r;Buch;0;Laptop;0
24C;3334;r;Blume;0;Kanne;0
20D;2106;r;Kissen;0;Schuessel;0
8B;2469;l;Marmelade;0;Uhr;0
25C;2047;r;Kerze;0;Kaffeemuehle;0
5D;2660;r;Foehn;1;Blackroll;0
10C;2319;r;Brille;0;Buerste;0
17B;2287;l;Schuh;1;Erdbeeren;0
9B;2983;l;Wasserflasche;1;Tasse;0
23B;3712;l;Saege;1;Hammer;0
19A;2747;l;Trommel;0;Hut;0
14B;2100;l;Ordner;0;Kopfhoerer;0
