pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
13C;2810;r;Laptop;0;Buch;0
25A;2043;l;Kaffeemuehle;0;Kerze;0
18D;3330;r;Ukulele;0;Handbesen;0
3C;2761;r;Stethoskop;0;Fahrradhelm;0
17B;3553;l;Schuh;0;Erdbeeren;0
22C;3229;r;Feder;0;Elefant;0
2A;3467;l;Locher;0;Zollstock ;0
21C;3851;r;Handy;0;Stift;0
1A;3655;l;Melone;0;Orange;0
9B;3962;l;Wasserflasche;0;Tasse;1
6C;2488;r;Obstschale;0;Globus;0
5A;3857;l;Foehn;0;Blackroll;0
14C;3258;r;Ordner;0;Kopfhoerer;0
10B;3602;l;Brille;1;Buerste;0
24A;3620;l;Kanne;0;Blume;1
11D;2096;r;Eimer;0;Stuhl;0
12C;3664;r;Fernglas;0;Kamera;0
15D;3560;r;Wasserglas;1;Handtuch;0
7C;2785;r;Thermoskanne;0;Toaster ;0
26D;2189;r;Gluehbirne;0;Taschenlampe;0
19D;3937;r;Trommel;0;Hut;1
16D;3114;r;Geldbeutel;1;Muetze;0
20D;3353;r;Kissen;0;Schuessel;0
8B;3019;l;Marmelade;0;Uhr;0
23D;2672;r;Saege;1;Hammer;0
4D;2353;r;Kiste ;1;Ventilator;1
