pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
21C;3855;r;Handy;1;Stift;0
10B;2248;l;Brille;0;Buerste;0
19B;3066;l;Hut;0;Trommel;0
23D;2827;r;Saege;1;Hammer;1
8B;3046;l;Marmelade;0;Uhr;0
13A;2243;l;Buch;0;Laptop;1
5C;3193;r;Blackroll;0;Foehn;0
12A;3609;l;Kamera;1;Fernglas;1
2B;3679;l;Zollstock;1;Locher;1
1A;2860;l;Melone;1;Orange;1
14A;3780;l;Kopfhoerer;1;Ordner;1
15D;3424;r;Wasserglas;1;Handtuch;1
9D;2736;r;Tasse;0;Wasserflasche;0
16B;2786;l;Muetze;0;Geldbeutel;0
6D;3886;r;Globus;1;Obstschale;0
26C;3153;r;Taschenlampe;0;Gluehbirne;0
25D;2845;r;Kaffemuehle;0;Kerze;0
17D;2862;r;Erdbeeren;1;Schuh;1
4C;3221;r;Ventilator;1;Kiste;1
24A;3340;l;Kanne;0;Blume;0
11D;2435;r;Eimer;0;Stuhl;0
22A;2864;l;Elefant;1;Feder;0
18D;2199;r;Ukulele;1;Handbesen;0
7A;3629;l;Toaster ;0;Thermoskanne;0
20B;2729;l;Schuessel;1;Kissen;0
3D;2227;r;Fahrradhelm;0;Stethoskop;0
