pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
19D;2091;r;Trommel;0;Hut;0
13D;2394;r;Buch;1;Laptop;0
25B;3172;l;Kerze;0;Kaffemuehle;0
7B;3307;l;Thermoskanne;0;Toaster;0
20B;3844;l;Schuessel;0;Kissen;0
8C;3009;r;Marmelade;0;Uhr;0
16D;2769;r;Geldbeutel;1;Muetze;0
14D;2692;r;Kopfhoerer;1;Ordner;0
5B;3510;l;Blackroll;0;Foehn;0
26D;3209;r;Gluehbirne;0;Taschenlampe;0
15C;3366;r;Handtuch;1;Wasserglas;0
24C;3913;r;Blume;0;Kanne;1
12B;3511;l;Fernglas;1;Kamera;1
21D;3774;r;Stift;1;Handy;1
4D;2931;r;Kiste ;0;Ventilator;0
23C;2831;r;Hammer;0;Saege;1
3C;2810;r;Stethoskop;0;Fahrradhelm;0
2B;3217;l;Zollstock;0;Locher;0
18D;2150;r;Ukulele;0;Handbesen;0
11D;3161;r;Eimer;1;Stuhl;0
10D;2957;r;Buerste;0;Brille;0
9B;3535;l;Wasserflasche;0;Tasse;1
1C;3567;r;Orange;0;Melone;0
17D;3422;r;Erdbeeren;0;Schuh;0
6A;2378;l;Globus;0;Obstschale;0
22A;3582;l;Elefant;0;Feder;0
