pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
5A;2087;l;Foehn;1;Blackroll;0
21B;2638;l;Handy;1;Stift;0
26D;2288;r;Gluehbirne;0;Taschenlampe;0
1D;2959;r;Melone;0;Orange;1
17C;2050;r;Schuh;0;Erdbeeren;0
22D;2126;r;Elefant;0;Feder;0
19C;3418;r;Hut;0;Trommel;0
14D;3151;r;Kopfhoerer;0;Ordner;0
10C;3407;r;Brille;0;Buerste;0
25B;3734;l;Kerze;0;Kaffemuehle;0
3D;3902;r;Fahrradhelm;0;Stethoskop;0
9B;2784;l;Wasserflasche;1;Tasse;0
8D;3535;r;Uhr;0;Marmelade;0
13B;3382;l;Laptop;0;Buch;0
11C;3978;r;Stuhl;1;Eimer;1
15B;2481;l;Handtuch;0;Wasserglas;0
16B;3354;l;Muetze;1;Geldbeutel;0
12B;3329;l;Fernglas;1;Kamera;1
4B;2819;l;Ventilator;0;Kiste ;0
6B;2960;l;Obstschale;1;Globus;1
24D;3643;r;Kanne;1;Blume;0
2C;3023;r;Zollstock ;0;Locher;0
20C;2787;r;Schuessel;0;Kissen;1
7B;3500;l;Thermoskanne;1;Toaster;0
23A;2923;l;Hammer;1;Säege;1
18B;3642;l;Handbesen;0;Ukulele;1
