pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
17B;2911;l;Schuh;1;Erdbeeren;0
5A;2144;l;Foehn;1;Blackroll;0
9D;2143;r;Tasse;0;Wasserflasche;0
4D;2919;r;Kiste ;0;Ventilator;0
10B;3387;l;Brille;0;Buerste;1
20A;3640;l;Kissen;0;Schuessel;0
16B;3733;l;Muetze;0;Geldbeutel;0
1A;3957;l;Melone;1;Orange;1
12B;2582;l;Fernglas;0;Kamera;0
25C;2717;r;Kerze;0;Kaffeemuehle;0
21D;2888;r;Stift;0;Handy;0
6B;3081;l;Obstschale;0;Globus;0
14C;3230;r;Ordner;1;Kopfhoerer;1
2A;3610;l;Locher;1;Zollstock ;0
22A;2889;l;Elefant;0;Feder;0
24C;2667;r;Blume;1;Kanne;0
19A;2225;l;Trommel;0;Hut;0
3B;3222;l;Stethoskop;0;Fahrradhelm;0
11D;3397;r;Eimer;1;Stuhl;1
18B;2421;l;Handbesen;0;Ukulele;0
13D;2587;r;Buch;0;Laptop;1
8D;3446;r;Uhr;0;Marmelade;0
7A;3130;l;Toaster ;0;Thermoskanne;0
23C;3948;r;Hammer;0;Saege;0
15A;3997;l;Wasserglas;0;Handtuch;0
26B;2787;l;Taschenlampe;0;Gluehbirne;0
