pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
11C;2094;r;Stuhl;0;Eimer;0
13C;3351;r;Laptop;0;Buch;0
21B;2956;l;Handy;0;Stift;0
12A;3930;l;Kamera;0;Fernglas;0
6C;2232;r;Obstschale;0;Globus;0
1B;3036;l;Orange;0;Melone;0
15C;2752;r;Handtuch;0;Wasserglas;1
17C;3892;r;Schuh;0;Erdbeeren;0
25B;3699;l;Kerze;0;Kaffemuehle;0
14B;2366;l;Ordner;1;Kopfhoerer;0
18B;3981;l;Handbesen;0;Ukulele;0
3B;3798;l;Stethoskop;0;Fahrradhelm;0
4A;3445;l;Kiste;1;Ventilator;1
9D;2231;r;Tasse;0;Wasserflasche;1
20B;2576;l;Schuessel;0;Kissen;1
19A;2992;l;Trommel;0;Hut;0
8C;3768;r;Marmelade;0;Uhr;1
2A;3461;l;Locher;0;Zollstock ;0
10B;2932;l;Brille;1;Buerste;0
26C;2475;r;Taschenlampe;0;Gluehbirne;0
7D;2448;r;Toaster;0;Thermoskanne;0
22A;2636;l;Elefant;1;Feder;1
16D;2726;r;Geldbeutel;0;Muetze;0
23B;2401;l;Saege;0;Hammer;0
5C;3717;r;Blackroll;0;Foehn;0
24D;2204;r;Kanne;0;Blume;0
