pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
12C;3195;r;Fernglas;1;Kamera;1
4D;2279;r;Kiste ;0;Ventilator;0
13B;3105;l;Laptop;1;Buch;0
24A;3910;l;Kanne;0;Blume;0
23D;2363;r;Saege;0;Hammer;1
10A;3351;l;Buerste;0;Brille;0
2C;2465;r;Zollstock ;1;Locher;0
21B;3329;l;Handy;0;Stift;1
1A;3002;l;Melone;0;Orange;0
11D;3576;r;Eimer;0;Stuhl;0
7D;2741;r;Toaster;0;Thermoskanne;0
18C;3162;r;Handbesen;0;Ukulele;0
17B;3338;l;Schuh;0;Erdbeeren;0
16C;2031;r;Muetze;0;Geldbeutel;0
3C;3098;r;Stethoskop;0;Fahrradhelm;0
20D;2938;r;Kissen;0;Schuessel;1
6A;2167;l;Globus;0;Obstschale;0
5B;3644;l;Blackroll;0;Foehn;1
25D;3222;r;Kaffemuehle;0;Kerze;0
22D;3945;r;Elefant;0;Feder;0
14B;3707;l;Ordner;0;Kopfhoerer;0
9C;2066;r;Wasserflasche;1;Tasse;1
8D;2295;r;Uhr;0;Marmelade;0
15A;2851;l;Wasserglas;0;Handtuch;0
26B;3224;l;Taschenlampe;1;Gluehbirne;0
19C;3516;r;Hut;0;Trommel;0
