pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
15A;2722;l;Wasserglas;1;Handtuch;1
17A;3127;l;Erdbeeren;1;Schuh;1
22B;3871;l;Feder;1;Elefant;1
5C;2114;r;Blackroll;0;Foehn;1
25D;2180;r;Kaffemuehle;0;Kerze;0
3A;2431;l;Fahrradhelm;0;Stethoskop;0
12B;2444;l;Fernglas;1;Kamera;1
11B;2546;l;Stuhl;1;Eimer;1
8C;3903;r;Marmelade;0;Uhr;0
16A;2777;l;Geldbeutel;0;Muetze;0
18D;3983;r;Ukulele;0;Handbesen;0
13A;3133;l;Buch;0;Laptop;1
24C;3021;r;Blume;0;Kanne;0
14D;3961;r;Kopfhoerer;0;Ordner;0
4A;2556;l;Kiste;1;Ventilator;0
9A;2214;l;Tasse;1;Wasserflasche;1
1A;2208;l;Melone;0;Orange;0
19D;2790;r;Trommel;0;Hut;0
10A;3592;l;Buerste;0;Brille;0
7A;2703;l;Toaster ;0;Thermoskanne;0
2A;3836;l;Locher;0;Zollstock ;0
23B;2032;l;Saege;1;Hammer;1
21A;3998;l;Stift;0;Handy;0
26A;2121;l;Gluehbirne;0;Taschenlampe;0
6C;3243;r;Obstschale;0;Globus;1
20B;3276;l;Schuessel;0;Kissen;0
