pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
14A;2450;l;Kopfhoerer;0;Ordner;1
4A;2361;l;Kiste;0;Ventilator;0
12D;2635;r;Kamera;0;Fernglas;0
23A;3394;l;Hammer;1;Säege;1
22C;2921;r;Feder;0;Elefant;0
13C;2874;r;Laptop;1;Buch;0
11B;2898;l;Stuhl;1;Eimer;1
19D;2680;r;Trommel;0;Hut;0
16D;3567;r;Geldbeutel;0;Muetze;0
21C;2744;r;Handy;1;Stift;1
18B;3885;l;Handbesen;0;Ukulele;1
1D;2963;r;Melone;1;Orange;1
2B;3019;l;Zollstock;1;Locher;1
5A;3085;l;Foehn;1;Blackroll;0
15B;2044;l;Handtuch;0;Wasserglas;1
7C;2779;r;Thermoskanne;1;Toaster ;1
6D;3165;r;Globus;1;Obstschale;1
26C;2219;r;Taschenlampe;0;Gluehbirne;0
3D;3949;r;Fahrradhelm;1;Stethoskop;1
17D;3575;r;Erdbeeren;1;Schuh;1
20C;3901;r;Schuessel;0;Kissen;1
24A;2495;l;Kanne;1;Blume;0
8D;2640;r;Uhr;0;Marmelade;0
9D;2091;r;Tasse;0;Wasserflasche;1
25B;2459;l;Kerze;0;Kaffemuehle;0
10A;2236;l;Buerste;1;Brille;1
