pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
1A;2861;l;Melone;1;Orange;1
11D;2402;r;Eimer;1;Stuhl;1
15D;2993;r;Wasserglas;0;Handtuch;0
26B;2687;l;Taschenlampe;0;Gluehbirne;0
22B;2012;l;Feder;1;Elefant;1
24A;2221;l;Kanne;1;Blume;0
10A;2384;l;Buerste;0;Brille;0
8B;3346;l;Marmelade;0;Uhr;0
25C;3764;r;Kerze;0;Kaffeemuehle;0
14A;3709;l;Kopfhoerer;0;Ordner;0
2A;3890;l;Locher;0;Zollstock ;1
18D;3957;r;Ukulele;0;Handbesen;1
4C;3199;r;Ventilator;0;Kiste;0
19D;2405;r;Trommel;1;Hut;1
12B;2478;l;Fernglas;1;Kamera;1
3C;3042;r;Stethoskop;0;Fahrradhelm;0
20A;2647;l;Kissen;0;Schuessel;1
9D;2974;r;Tasse;1;Wasserflasche;0
5D;3758;r;Foehn;0;Blackroll;0
13A;2923;l;Buch;0;Laptop;0
23C;2723;r;Hammer;1;Saege;0
6A;2412;l;Globus;1;Obstschale;1
21D;2516;r;Stift;0;Handy;0
17A;2010;l;Erdbeeren;0;Schuh;1
16D;2283;r;Geldbeutel;0;Muetze;0
7D;3361;r;Toaster;0;Thermoskanne;1
