pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
24B;2791;l;Blume;0;Kanne ;0
3A;3655;l;Fahrradhelm;0;Stethoskop;0
13B;3089;l;Laptop;0;Buch;1
11B;3288;l;Stuhl;0;Eimer;0
2A;2273;l;Locher;0;Zollstock ;0
25B;2358;l;Kerze;0;Kaffemuehle;0
8D;2382;r;Uhr;0;Marmelade;0
16B;3992;l;Muetze;0;Geldbeutel;0
9A;2442;l;Tasse;1;Wasserflasche;0
21D;2233;r;Stift;0;Handy;0
23C;2390;r;Hammer;0;Saege;0
6B;3488;l;Obstschale;0;Globus;1
14A;2201;l;Kopfhoerer;0;Ordner;0
26D;2619;r;Gluehbirne;0;Taschenlampe;0
10D;2157;r;Buerste;0;Brille;0
7C;3793;r;Thermoskanne;0;Toaster ;0
17D;2114;r;Erdbeeren;0;Schuh;0
22C;2701;r;Feder;0;Elefant;0
4B;2317;l;Ventilator;0;Kiste ;0
20D;2774;r;Kissen;0;Schuessel;0
5B;3968;l;Blackroll;0;Foehn;0
12B;3750;l;Fernglas;0;Kamera;0
1B;3970;l;Orange;0;Melone;0
19D;3629;r;Trommel;1;Hut;1
15D;3219;r;Wasserglas;0;Handtuch;0
18D;3961;r;Ukulele;0;Handbesen;0
