pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
14A;3071;l;Kopfhoerer;0;Ordner;0
10B;2801;l;Brille;0;Buerste;0
17A;2945;l;Erdbeeren;0;Schuh;0
7C;2161;r;Thermoskanne;0;Toaster ;0
4B;2062;l;Ventilator;0;Kiste ;0
25D;3270;r;Kaffemuehle;0;Kerze;0
21A;3525;l;Stift;0;Handy;0
16B;3224;l;Muetze;0;Geldbeutel;0
13B;2429;l;Laptop;1;Buch;1
22D;2144;r;Elefant;1;Feder;1
3D;3139;r;Fahrradhelm;0;Stethoskop;0
15D;2343;r;Wasserglas;0;Handtuch;0
8C;3326;r;Marmelade;0;Uhr;0
5D;2495;r;Foehn;0;Blackroll;0
12C;2198;r;Fernglas;1;Kamera;1
26C;2735;r;Taschenlampe;0;Gluehbirne;0
11D;2082;r;Eimer;1;Stuhl;1
6B;3350;l;Obstschale;1;Globus;1
23D;2669;r;Saege;1;Hammer;1
19A;3336;l;Trommel;0;Hut;0
9D;2637;r;Tasse;0;Wasserflasche;0
2B;2033;l;Zollstock;0;Locher;0
20B;2763;l;Schuessel;0;Kissen;0
1A;3142;l;Melone;1;Orange;1
24A;3899;l;Kanne;0;Blume;0
18A;3972;l;Ukulele;0;Handbesen;0
