pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
22C;2262;r;Feder;0;Elefant;1
3C;3857;r;Stethoskop;0;Fahrradhelm;0
2C;3551;r;Zollstock ;0;Locher;0
23B;3037;l;Saege;0;Hammer;0
10C;3166;r;Brille;0;Buerste;1
17D;2532;r;Erdbeeren;0;Schuh;1
15A;3687;l;Wasserglas;0;Handtuch;0
25C;2265;r;Kerze;0;Kaffeemuehle;0
1B;3461;l;Orange;0;Melone;0
24D;3487;r;Kanne;0;Blume;0
19D;3206;r;Trommel;0;Hut;0
21C;3402;r;Handy;0;Stift;1
16B;3874;l;Muetze;1;Geldbeutel;0
8A;3499;l;Uhr;0;Marmelade;1
18A;3684;l;Ukulele;0;Handbesen;0
6B;3725;l;Obstschale;0;Globus;1
20A;3368;l;Kissen;0;Schuessel;0
14C;3322;r;Ordner;0;Kopfhoerer;0
4C;2228;r;Ventilator;0;Kiste;0
13A;2281;l;Buch;0;Laptop;0
5B;2909;l;Blackroll;0;Foehn;0
11A;2297;l;Eimer;0;Stuhl;0
9C;2721;r;Wasserflasche;0;Tasse;0
26B;3539;l;Taschenlampe;1;Gluehbirne;1
12B;2507;l;Fernglas;1;Kamera;1
7C;3148;r;Thermoskanne;0;Toaster ;0
