pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
1B;2680;l;Orange;0;Melone;1
9A;2592;l;Tasse;0;Wasserflasche;0
17D;2751;r;Erdbeeren;0;Schuh;0
19B;3385;l;Hut;0;Trommel;0
16C;3317;r;Muetze;0;Geldbeutel;0
15C;2540;r;Handtuch;0;Wasserglas;0
4B;3316;l;Ventilator;0;Kiste ;0
24B;3653;l;Blume;0;Kanne ;0
5C;2084;r;Blackroll;0;Foehn;1
10D;2506;r;Buerste;0;Brille;0
3C;3883;r;Stethoskop;0;Fahrradhelm;0
26C;2379;r;Taschenlampe;0;Gluehbirne;0
12B;2063;l;Fernglas;0;Kamera;0
25A;2762;l;Kaffeemuehle;0;Kerze;0
23A;2827;l;Hammer;1;Säege;1
20C;2595;r;Schuessel;0;Kissen;0
8C;2935;r;Marmelade;1;Uhr;1
6D;2755;r;Globus;1;Obstschale;0
11A;2773;l;Eimer;1;Stuhl;1
2C;3248;r;Zollstock ;1;Locher;1
7B;3624;l;Thermoskanne;0;Toaster;1
21A;3787;l;Stift;0;Handy;0
22C;2259;r;Feder;0;Elefant;0
14B;3448;l;Ordner;1;Kopfhoerer;0
18D;3316;r;Ukulele;0;Handbesen;0
13D;3403;r;Buch;0;Laptop;1
