pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
8B;3876;l;Marmelade;0;Uhr;1
18D;3923;r;Ukulele;0;Handbesen;0
22B;3578;l;Feder;1;Elefant;0
11C;2205;r;Stuhl;1;Eimer;1
7D;2451;r;Toaster;0;Thermoskanne;1
4D;3328;r;Kiste ;1;Ventilator;1
6C;3853;r;Obstschale;1;Globus;1
16A;2119;l;Geldbeutel;0;Muetze;1
2C;3321;r;Zollstock ;0;Locher;0
3A;3198;l;Fahrradhelm;0;Stethoskop;0
20A;3757;l;Kissen;0;Schuessel;0
17C;3278;r;Schuh;1;Erdbeeren;0
15D;2533;r;Wasserglas;0;Handtuch;0
14B;3156;l;Ordner;0;Kopfhoerer;0
25C;2078;r;Kerze;1;Kaffeemuehle;1
24A;3101;l;Kanne;0;Blume;0
19D;3053;r;Trommel;0;Hut;0
1D;3025;r;Melone;1;Orange;1
10A;3719;l;Buerste;1;Brille;1
23B;3818;l;Saege;1;Hammer;1
21D;3849;r;Stift;1;Handy;0
26C;3469;r;Taschenlampe;1;Gluehbirne;1
9D;2467;r;Tasse;1;Wasserflasche;1
5A;2405;l;Foehn;1;Blackroll;1
13A;3218;l;Buch;1;Laptop;0
12C;2204;r;Fernglas;1;Kamera;1
