pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
19A;2740;l;Trommel;0;Hut;0
25C;3103;r;Kerze;0;Kaffeemuehle;1
11B;2885;l;Stuhl;1;Eimer;1
26A;3124;l;Gluehbirne;1;Taschenlampe;0
15A;2825;l;Wasserglas;0;Handtuch;0
3D;3408;r;Fahrradhelm;0;Stethoskop;0
14D;3052;r;Kopfhoerer;0;Ordner;0
10A;3935;l;Buerste;0;Brille;0
9B;2032;l;Wasserflasche;0;Tasse;0
1D;2490;r;Melone;0;Orange;0
20C;3413;r;Schuessel;0;Kissen;0
22D;3660;r;Elefant;0;Feder;0
13A;3397;l;Buch;0;Laptop;0
24D;2980;r;Kanne;0;Blume;1
7D;3615;r;Toaster;0;Thermoskanne;0
18A;3077;l;Ukulele;0;Handbesen;0
16B;3945;l;Muetze;0;Geldbeutel;0
2D;2112;r;Locher;0;Zollstock;0
4A;3540;l;Kiste;0;Ventilator;0
17A;3293;l;Erdbeeren;0;Schuh;1
5C;3181;r;Blackroll;0;Foehn;0
8D;2003;r;Uhr;0;Marmelade;0
12C;2032;r;Fernglas;0;Kamera;0
6B;2228;l;Obstschale;0;Globus;0
21D;2841;r;Stift;0;Handy;0
23D;3133;r;Saege;1;Hammer;1
