pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
18B;2527;l;Handbesen;0;Ukulele;1
25A;3327;l;Kaffeemuehle;0;Kerze;0
3A;2066;l;Fahrradhelm;0;Stethoskop;0
11B;2595;l;Stuhl;1;Eimer;0
16C;3856;r;Muetze;0;Geldbeutel;0
2C;3929;r;Zollstock ;0;Locher;0
23D;2561;r;Saege;0;Hammer;1
13B;3134;l;Laptop;1;Buch;0
9C;3894;r;Wasserflasche;0;Tasse;0
14B;2481;l;Ordner;0;Kopfhoerer;0
17A;2185;l;Erdbeeren;0;Schuh;0
12C;3264;r;Fernglas;1;Kamera;1
10D;3468;r;Buerste;0;Brille;1
19A;3171;l;Trommel;0;Hut;0
5B;2687;l;Blackroll;1;Foehn;0
24A;3114;l;Kanne;0;Blume;0
26B;2530;l;Taschenlampe;0;Gluehbirne;0
15D;2120;r;Wasserglas;0;Handtuch;0
21C;3578;r;Handy;0;Stift;0
1A;3092;l;Melone;0;Orange;0
20C;2995;r;Schuessel;0;Kissen;0
6D;3503;r;Globus;0;Obstschale;0
22B;2325;l;Feder;0;Elefant;0
4B;3213;l;Ventilator;0;Kiste ;1
8A;3584;l;Uhr;1;Marmelade;1
7B;2170;l;Thermoskanne;0;Toaster;0
