pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
11A;2476;l;Eimer;1;Stuhl;0
5B;2486;l;Blackroll;0;Foehn;0
7B;2477;l;Thermoskanne;0;Toaster;0
15D;3845;r;Wasserglas;0;Handtuch;0
3B;2589;l;Stethoskop;0;Fahrradhelm;0
17C;2344;r;Schuh;0;Erdbeeren;0
13D;3905;r;Buch;1;Laptop;1
21A;2471;l;Stift;1;Handy;0
25C;3669;r;Kerze;0;Kaffeemuehle;0
19C;3448;r;Hut;0;Trommel;0
1B;3717;l;Orange;1;Melone;0
2B;3071;l;Zollstock;1;Locher;1
14B;3332;l;Ordner;0;Kopfhoerer;0
10C;3659;r;Brille;1;Buerste;1
23C;2123;r;Hammer;1;Saege;1
12D;2827;r;Kamera;1;Fernglas;1
18B;3525;l;Handbesen;0;Ukulele;1
9D;3225;r;Tasse;1;Wasserflasche;1
8D;2017;r;Uhr;1;Marmelade;0
6D;2168;r;Globus;0;Obstschale;0
20B;2748;l;Schuessel;0;Kissen;0
22D;3932;r;Elefant;1;Feder;1
16C;3376;r;Muetze;1;Geldbeutel;0
24A;2084;l;Kanne;0;Blume;1
4D;2715;r;Kiste ;1;Ventilator;1
26D;3809;r;Gluehbirne;1;Taschenlampe;1
