pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
4B;3772;l;Ventilator;0;Kiste ;1
10A;2904;l;Buerste;0;Brille;0
16B;3115;l;Muetze;0;Geldbeutel;0
2A;2726;l;Locher;0;Zollstock ;0
21C;2979;r;Handy;0;Stift;0
19A;2984;l;Trommel;0;Hut;0
5A;2282;l;Foehn;0;Blackroll;0
24C;2673;r;Blume;0;Kanne;0
26A;3147;l;Gluehbirne;0;Taschenlampe;0
1D;2959;r;Melone;0;Orange;0
11C;3524;r;Stuhl;0;Eimer;0
8A;2333;l;Uhr;0;Marmelade;0
9C;2193;r;Wasserflasche;0;Tasse;0
20B;2011;l;Schuessel;0;Kissen;1
3C;2176;r;Stethoskop;0;Fahrradhelm;0
7C;2891;r;Thermoskanne;0;Toaster ;0
25A;3690;l;Kaffeemuehle;0;Kerze;1
23D;3674;r;Saege;1;Hammer;1
17D;2085;r;Erdbeeren;0;Schuh;0
13C;2834;r;Laptop;1;Buch;0
15D;3063;r;Wasserglas;0;Handtuch;0
12D;2172;r;Kamera;1;Fernglas;1
18C;3153;r;Handbesen;0;Ukulele;0
14C;2898;r;Ordner;0;Kopfhoerer;0
6B;2177;l;Obstschale;1;Globus;0
22B;3104;l;Feder;0;Elefant;0
