trial;pic;iti
1;14A;12577
2;4A;12509,3
3;12D;12776,1
4;23A;13526,7
5;22C;13043
6;13C;13026,3
7;11B;13059,6
8;19D;12792,8
9;16D;13710,1
10;21C;12859,5
11;18B;13977
12;1D;13126,4
13;2B;13159,8
14;5A;13226,4
15;15B;12159
16;7C;12959,6
17;6D;13293,1
18;26C;12409,2
19;3D;14077,1
20;17D;13760,2
21;20C;14043,7
22;24A;12609,3
23;8D;12809,5
24;9D;12259
25;25B;12609,4
26;10A;0
