trial;pic;iti
1;15A;12826,2
2;17A;13243,1
3;22B;13977,1
4;5C;12209
5;25D;12292,5
6;3A;12542,6
7;12B;12559,3
8;11B;12659,4
9;8C;14027,1
10;16A;12892,9
11;18D;14093,8
12;13A;13243,2
13;24C;13126,4
14;14D;14077,1
15;4A;12676,1
16;9A;12325,8
17;1A;12342,5
18;19D;12926,2
19;10A;13710,2
20;7A;12826,2
21;2A;13943,7
22;23B;12142,3
23;21A;14127,2
24;26A;12259,1
25;6C;13376,5
26;20B;0
