trial;pic;iti
1;12C;13177
2;4D;13527,2
3;9A;13093,5
4;22C;14111
5;16A;13660,7
6;10C;12693,2
7;5B;12676,6
8;6A;13777,4
9;1B;12776,6
10;17D;13744
11;21D;13777,4
12;7B;12943,5
13;15B;12843,3
14;26D;12876,7
15;13B;13227
16;3B;13527,2
17;19A;12910
18;20D;13210,3
19;11D;13143,6
20;24C;12776,6
21;18A;12726,6
22;14D;12676,6
23;8D;13844,1
24;23B;13026,8
25;25A;13727,4
26;2B;0
