trial;pic;iti
1;12C;13310
2;4D;12409,4
3;13B;13209,9
4;24A;14043,9
5;23D;12476,1
6;10A;13476,8
7;2C;12576,2
8;21B;13426,7
9;1A;13109,9
10;11D;13693,7
11;7D;12859,6
12;18C;13260
13;17B;13493,5
14;16C;12142,5
15;3C;13243,3
16;20D;13059,9
17;6A;12292,6
18;5B;13760,3
19;25D;13326,7
20;22D;14060,6
21;14B;13827,1
22;9C;12175,9
23;8D;12409,3
24;15A;12976,4
25;26B;13343,4
26;19C;0
