trial;pic;iti
1;16C;13593,3
2;17C;13226,5
3;9C;14010,3
4;8C;12275,7
5;24C;13993,7
6;26D;13793,5
7;11A;12525,9
8;13A;13826,9
9;21C;12275,7
10;6D;12842,8
11;3C;12159
12;10C;12425,9
13;19B;12392,4
14;5B;13710,2
15;20B;13309,8
16;12B;13760,2
17;1D;13893,6
18;22B;12559,2
19;4A;13910,3
20;15C;12275,8
21;2D;12559,2
22;25D;12592,7
23;14A;13876,9
24;7D;13193,1
25;18D;12442,5
26;23A;0
