stimulus;background.size;gaze.size;head.size;body.size;nongaze.size;background.m_x;background.min_x;background.max_x;background.m_y;background.min_y;background.max_y;gaze.m_x;gaze.min_x;gaze.max_x;gaze.m_y;gaze.min_y;gaze.max_y;head.m_x;head.min_x;head.max_x;head.m_y;head.min_y;head.max_y;body.m_x;body.min_x;body.max_x;body.m_y;body.min_y;body.max_y;nongaze.m_x;nongaze.min_x;nongaze.max_x;nongaze.m_y;nongaze.min_y;nongaze.max_y
15B_ROI.png;1081225;15344;15346;110580;6305;672,065232490925;1;1280;470,596500265902;1;960;199,865224191867;128;293;822,430461418144;751;892;424,830835396846;355;492;242,855011077805;167;332;429,851835775005;278;571;543,003789111955;280;779;519,185884218874;487;551;828,884060269627;776;885
15C_ROI.png;1079290;13736;14855;114939;5980;672,267082989743;1;1280;475,93224434582;1;960;524,285308677927;465;598;813,714181712289;735;877;421,860787613598;360;485;209,083742847526;129;295;407,529350351056;260;552;504,017191727786;266;736;194,969732441472;162;230;761,728929765886;713;813
15D_ROI.png;1070553;6449;15450;120887;15461;674,314372104884;1;1280;478,35566011211;1;960;526,854551093193;494;561;770,821987905102;718;826;441,925113268608;382;506;179,633074433657;98;268;428,488017735571;278;576;485,543598567257;240;723;202,643231356316;129;297;769,099152706811;699;839
16A_ROI.png;1033631;17596;19989;95411;62173;628,560692355396;1;1280;471,795772379118;1;960;194,4859627188;85;303;675,077290293248;615;732;611,162739506729;541;693;227,596978338086;133;322;617,538931569735;393;792;474,786617895211;276;625;1009,88964663117;820;1183;660,217489907194;521;797
16B_ROI.png;1052169;52949;17044;90223;16415;652,209371308221;1;1280;469,240528850403;1;960;321,665281686151;147;495;652,396948006572;541;745;607,771884534147;545;672;267,865055151373;182;355;634,449342185474;416;803;508,683783514182;336;660;985,639719768504;887;1081;713,605056350899;649;779
16C_ROI.png;1024262;67996;19186;98688;18668;615,93884963027;1;1280;469,708626308503;1;960;1037,61691864227;840;1219;661,91433319607;516;804;726,835192327739;654;798;223,981601167518;135;322;689,330202253567;496;882;478,359212872892;279;630;194,780533533319;84;304;686,766177415899;625;746
16D_ROI.png;1042273;16965;19202;93043;57317;652,682703092184;1;1280;469,232657854516;1;960;956,696728558798;857;1050;708,769053934571;640;776;685,470315592126;610;757;251,89610457244;163;347;659,422353105553;489;846;500,46579538493;306;659;279,593244587121;100;460;662,000017446831;547;765
17A_ROI.png;892528;31945;79451;193085;31791;754,248770906907;1;1280;476,140147984153;1;960;214,785443731413;117;310;842,57752386915;735;959;316,986066883991;151;455;188,854551862154;2;372;289,826149105316;18;572;520,608504026724;262;764;813,154351860589;682;939;724,339309867573;618;833
17B_ROI.png;969656;26790;51893;161335;19126;739,672498288053;1;1280;483,37669750922;1;960;138,828256812243;31;226;830,064949608063;723;949;262,404428342936;141;382;172,212263696452;28;313;238,758266960052;14;488;480,983320420244;270;715;730,016574296769;648;812;677,391508940709;601;759
17C_ROI.png;914817;30346;58985;195979;28673;748,50833991935;1;1280;463,406041864111;1;960;775,77252356159;654;893;772,275555262638;663;881;309,194303636518;177;435;212,922929558362;56;374;286,329928206594;19;569;540,735997224192;304;774;153,600041851219;73;236;855,824015624455;757;960
