trial;pic;iti
1;10B;13499,7
2;8A;12542,7
3;23B;13810,2
4;12D;12742,8
5;3C;12659,4
6;15D;12175,7
7;19C;14010,4
8;5A;13660,1
9;25B;12709,4
10;22B;12776,2
11;6B;13543,3
12;18C;13326,6
13;21B;12976,3
14;1C;13409,9
15;2D;13176,5
16;4A;13726,8
17;17C;13410
18;16C;13176,4
19;9B;12542,7
20;11B;13943,6
21;26B;12959,7
22;13B;12792,8
23;24D;12942,9
24;14B;13393,3
25;20C;13043
26;7C;0
