trial;pic;iti
1;14B;12416,1
2;18D;13093,2
3;4D;12959,8
4;24D;13493,5
5;7D;12876,4
6;19C;13376,7
7;22D;13543,6
8;15A;13460,1
9;23A;12609,5
10;17A;13510,2
11;26B;13376,8
12;21D;12392,6
13;10C;12275,9
14;6C;12192,6
15;13A;13043,1
16;11C;12976,5
17;2C;13910,4
18;12C;13877,2
19;20C;12192,5
20;16A;13443,5
21;25B;13043,1
22;1D;13710,4
23;8B;12726,2
24;3A;13993,9
25;9C;12325,9
26;5D;0
