trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;17C;12876;948,4;611,3;1;8165;0,241763625229639;0,0242498469075321;0,0521739130434783;0,0579301898346601;0,256410256410256;0,0512820512820513;0,0256410256410256;0,0256410256410256;339;630;1306;767;0;0;0;0,0909090909090909;0;0,5
2;25D;12659,3;955,590357142857;602,447857142857;1;8046;0,20308227690778;0,11558538404176;0,1712652249565;0,104399701715138;0,25;0,111111111111111;0,138888888888889;0,111111111111111;267;903;643;2005;0,214285714285714;0,111111111111111;0,4;0;0;0
3;7A;12725,9;947,1;616,8;1;8255;0,203149606299213;0;0,0495457298606905;0,11847365233192;0,195121951219512;0;0,0731707317073171;0,0975609756097561;452;NA;2299;1228;0;0;NA;0,125;0,125;NA
4;26C;12492,5;958,2;601,6;1;8079;0,469736353509098;0,101745265503156;0,0345339769773487;0,0386186409209061;0,365853658536585;0,0975609756097561;0,024390243902439;0,0487804878048781;1653;148;849;1555;0;0;0;0,05;0;0,2
5;10D;12292,3;939,7;615,3;1;7851;0,454591771748822;0,0717106101133614;0,022927015666794;0,140236912495224;0,4;0,0857142857142857;0,0285714285714286;0,114285714285714;286;8725;495;740;0,0588235294117647;0,0769230769230769;0;0;0;0
6;13A;12475,8;967,904152249135;603,855017301038;1;7646;0,180355741564217;0,179178655506147;0,104629871828407;0,1272560816113;0,111111111111111;0,222222222222222;0,111111111111111;0,138888888888889;209;2036;564;1404;0,0833333333333333;0,25;0;0;0;0
7;18D;12642,5;936,9;659,3;1;8099;0,345721694036301;0,0381528583775775;0,0664279540684035;0,169897518212125;0,317073170731707;0,0487804878048781;0,0731707317073171;0,121951219512195;1021;6999;8054;142;0;0;0;0,0714285714285714;0,0833333333333333;0
8;14D;12158,9;959,596113074205;614,837102473498;1;7952;0,310110663983903;0,126509054325956;0,0953219315895372;0,073692152917505;0,243243243243243;0,135135135135135;0,108108108108108;0,0810810810810811;324;200;704;1325;0,142857142857143;0,222222222222222;0;0;0;0
9;15A;13576,6;965,707692307692;620;1;7468;0,0611944295661489;0,0523567220139261;0,0508837707552223;0,0985538296732726;0,0540540540540541;0,0810810810810811;0,0540540540540541;0,0810810810810811;341;214;1177;2184;0,2;0;0,333333333333333;0;0;0
10;2C;13076,2;959,8;639,6;1;6996;0,380360205831904;0,101343624928531;0,0287307032590051;0;0,333333333333333;0,111111111111111;0,0277777777777778;0;236;139;1986;NA;0;0;0;0;0;0
11;11D;12459,1;946,747450980392;588,21568627451;1;7870;0,128843710292249;0,223379923761118;0,0498094027954257;0,0317662007623888;0,125;0,25;0,05;0,025;2952;292;2084;2331;0;0;0;0;0;0
12;21B;12992,9;953,3;644,8;1;7873;0,068588847961387;0,338498666327956;0,0307379651975105;0,0284516702654642;0,0952380952380952;0,30952380952381;0,0238095238095238;0,0238095238095238;308;113;3293;1041;0;0;0;0;0;0
13;22B;12642,5;930,6;724,5;1;8168;0,133570029382958;0,0366062683643487;0,20666013712047;0;0,0909090909090909;0,0909090909090909;0,0606060606060606;0;215;116;522;NA;0,166666666666667;0,333333333333333;0;0;0;0
14;8D;12525,8;945;666,8;1;7324;0,310349535772802;0,155379574003277;0,22992900054615;0,022392135445112;0,285714285714286;0,119047619047619;0,214285714285714;0,0476190476190476;243;140;2123;1264;0,117647058823529;0,0909090909090909;0,166666666666667;0,0588235294117647;0,0909090909090909;0
15;12A;13309,8;953,1;650,7;1;7345;0,385159972770592;0,275425459496256;0,0314499659632403;0,0499659632402995;0,323529411764706;0,323529411764706;0,0294117647058824;0,0588235294117647;302;266;4394;776;0,0454545454545455;0;0,0909090909090909;0,0454545454545455;0,0909090909090909;0
16;9A;13426,4;947,5;687,9;1;7150;0,44041958041958;0,139440559440559;0,0261538461538462;0,138741258741259;0,365853658536585;0,170731707317073;0,0487804878048781;0,170731707317073;369;129;3054;1713;0,0454545454545455;0;0,142857142857143;0,0454545454545455;0;0,142857142857143
17;16C;13943,6;954,7;642;1;8008;0,174450549450549;0,0483266733266733;0,372377622377622;0,0703046953046953;0,175;0,075;0,325;0,1;291;125;665;2191;0,181818181818182;0,285714285714286;0;0,0909090909090909;0;0,25
18;6C;12575,8;928,1;680,9;1;7996;0,106428214107054;0,0263881940970485;0,0155077538769385;0,0766633316658329;0,128205128205128;0,0256410256410256;0,0256410256410256;0,0769230769230769;357;9173;168;1723;0;0;0;0;0;0
19;5B;12642,6;961,5;619,1;1;7600;0,0681578947368421;0,0255263157894737;0,204868421052632;0,0507894736842105;0,0512820512820513;0,0256410256410256;0,153846153846154;0,0512820512820513;4491;302;555;3171;0,25;0;0,5;0;0;0
20;23B;13543,2;941,677186311787;690,138783269962;1;6591;0,314671521772113;0,108329540282203;0,0247306933697466;0,0538613260506752;0,333333333333333;0,111111111111111;0,0277777777777778;0,0555555555555556;1041;119;5687;749;0;0;0;0;0;0
21;20B;13793,4;950,417697407515;641,865631697816;0;7876;0,0881157948197054;0,0434230573895378;0,153377348908075;0,0455815134586084;0,146341463414634;0,0487804878048781;0,170731707317073;0,0487804878048781;268;27;655;892;0,142857142857143;0,2;0;0;0;0
22;1B;12142,2;948,8;706,1;1;7653;0,385208415000653;0,0621978309159807;0;0;0,368421052631579;0,0789473684210526;0;0;334;5034;NA;NA;0;0;0;0;0;0
23;19C;12192,3;958,301785714286;615,380714285714;1;7775;0,184565916398714;0,0326688102893891;0,192025723472669;0,0972347266881029;0,128205128205128;0,0512820512820513;0,179487179487179;0,102564102564103;397;252;1775;1544;0;0;0;0,166666666666667;0;0,5
24;24D;13293;950,417697407515;641,865631697816;0;7350;0,215510204081633;0,0987755102040816;0,0345578231292517;0,174829931972789;0,205128205128205;0,128205128205128;0,0512820512820513;0,153846153846154;469;312;972;1182;0;0;0;0,0833333333333333;0,142857142857143;0
25;3A;14043,6;949,8;643;1;5969;0,138214106215446;0,108225833472944;0;0,305746356173563;0,129032258064516;0,161290322580645;0;0,225806451612903;428;137;NA;1088;0;0;0;0;0;0
26;4D;0;952;660,2;1;6822;0,268249780123131;0,0897097625329815;0,108326004104368;0,0274113163295221;0,228571428571429;0,142857142857143;0,114285714285714;0,0285714285714286;309;113;652;2704;0,153846153846154;0,125;0,2;0;0;0
