trial;pic;iti;blx;bly;blok;cleantime;fix.face;fix.body;fix.gaze;fix.nongaze;fixn.face;fixn.body;fixn.gaze;fixn.nongaze;fixlat.face;fixlat.body;fixlat.gaze;fixlat.nongaze;sac.pgaze;sac.fgaze;sac.bgaze;sac.pnongaze;sac.fnongaze;sac.bnongaze
1;3A;12209,2;953,2;598,8;1;8234;0,161889725528297;0,0412922030604809;0,0654602866164683;0,0750546514452271;0,102564102564103;0,0769230769230769;0,0769230769230769;0,102564102564103;290;1103;1466;1278;0;0;0;0,125;0;0,25
2;7D;13526,9;952,8;597,4;1;7680;0,202734375;0;0,275390625;0,237630208333333;0,212121212121212;0;0,212121212121212;0,212121212121212;490;NA;2792;294;0,285714285714286;0,285714285714286;NA;0;0;NA
3;2C;12292,6;951,9;612,6;1;5112;0,341158059467919;0,0334507042253521;0,292057902973396;0,0369718309859155;0,269230769230769;0,0384615384615385;0,230769230769231;0,0384615384615385;244;3442;1245;3648;0,125;0,142857142857143;0;0,125;0;1
4;10A;12242,5;955;611,4;1;7772;0,247426659804426;0,0531394750386001;0,0487647967061245;0,0903242408646423;0,228571428571429;0,0571428571428571;0,0571428571428571;0,114285714285714;1339;2486;334;860;0,0909090909090909;0;0,333333333333333;0;0;0
5;5D;12692,9;950,5;606,7;1;7776;0,297968106995885;0,0943930041152263;0,138503086419753;0,187885802469136;0,258064516129032;0,0967741935483871;0,161290322580645;0,161290322580645;191;4623;448;1016;0,0909090909090909;0,125;0;0,272727272727273;0,125;0,666666666666667
6;1C;12876,4;949,7;598,7;1;7096;0,452226606538895;0,0155016910935738;0,139797068771139;0,193630214205186;0,375;0,03125;0,09375;0,25;348;216;1586;1367;0;0;0;0,0769230769230769;0,0909090909090909;0
7;17C;13510,2;948,105882352941;606,020069204152;1;8248;0,211930164888458;0;0,306134820562561;0,241149369544132;0,21875;0;0,21875;0,25;199;NA;606;809;0;0;NA;0;0;NA
8;18B;12359,3;952,7;605,2;1;6011;0,22758276493096;0,23473631675262;0,205789386125437;0,0976543004491765;0,172413793103448;0,241379310344828;0,241379310344828;0,0689655172413793;329;214;879;1672;0,166666666666667;0,2;0,142857142857143;0;0;0
9;11D;13059,8;958,7;602,3;1;8364;0,161166905786705;0,235772357723577;0,0479435676709708;0,0399330463892874;0,15;0,225;0,05;0,05;393;252;4612;1726;0,0714285714285714;0;0,125;0,0714285714285714;0;0,125
10;9B;12175,8;962,3;600,4;1;6796;0,300912301353737;0,0572395526780459;0,174220129487934;0,0684226015303119;0,266666666666667;0,0666666666666667;0,2;0,0666666666666667;202;8976;990;6679;0,2;0,25;0;0;0;0
11;15C;13943,9;956,439100346021;601,217301038062;1;3614;0,261206419479801;0;0,0417819590481461;0;0,181818181818182;0;0,136363636363636;0;189;NA;6509;NA;0;0;NA;0;0;NA
12;4D;12225,8;954,084270687076;604,059911947519;0;7447;0,123271115885592;0,0183966697999194;0,198334899959715;0,0247079360816436;0,121212121212121;0,0303030303030303;0,151515151515152;0,0303030303030303;201;7536;698;2446;0,2;0,25;0;0;0;0
13;21B;12125,9;954,084270687076;604,059911947519;0;7740;0,196511627906977;0,166666666666667;0,0156330749354005;0,0729974160206718;0,162162162162162;0,162162162162162;0,027027027027027;0,0810810810810811;395;242;1051;1258;0;0;0;0;0;0
14;13D;14060,5;955,1;613,4;1;5742;0,27725531173807;0,30163706025775;0,0834204110066179;0;0,222222222222222;0,296296296296296;0,111111111111111;0;208;3787;448;NA;0,0666666666666667;0,166666666666667;0;0;0;0
15;8A;13243,4;956,446341463415;601,442073170732;1;8297;0,494636615644209;0,128359648065566;0,111847655779197;0,125346510787031;0,405405405405405;0,135135135135135;0,189189189189189;0,108108108108108;226;75;554;1325;0,0526315789473684;0,0666666666666667;0;0;0;0
16;6A;12459,3;945,351557093426;605,9;1;8132;0,296483030004919;0,185071323167732;0,0747663551401869;0,308165272995573;0,1;0,2;0,1;0,3;348;210;870;2480;0,166666666666667;0,5;0;0,166666666666667;0;0,25
17;14A;13677;944,913058419244;599,860824742268;1;7418;0,232138042599083;0,0404421677001887;0,391884605014829;0,0900512267457536;0,205882352941176;0,0588235294117647;0,323529411764706;0,117647058823529;250;9068;1474;5482;0,1;0;0,333333333333333;0;0;0
18;19A;12809,7;956,6;610,9;1;6461;0,409843677449311;0;0;0,0829592942268999;0,310344827586207;0;0;0,103448275862069;219;NA;NA;4382;0;0;NA;0;0;NA
19;24C;13176,5;954,084270687076;604,059911947519;0;7471;0,209878195690001;0,245884085129166;0,174140008031053;0,143354303306117;0,147058823529412;0,264705882352941;0,147058823529412;0,176470588235294;356;220;2221;1749;0,2;0,2;0,2;0;0;0
20;12C;12876,4;951,994501718213;607,625429553265;1;4326;0,399676375404531;0,159038372630606;0,260748959778086;0;0,391304347826087;0,130434782608696;0,260869565217391;0;209;5334;527;NA;0,166666666666667;0,111111111111111;0,333333333333333;0;0;0
21;23A;12426;959,7;607,4;1;7972;0,144505770195685;0,023331660812845;0,0440291018564977;0,0524335173105871;0,175;0,025;0,05;0,075;248;1322;861;4311;0,111111111111111;0,142857142857143;0;0;0;0
22;26A;13093,2;952,024210526316;602,062105263158;1;8044;0,18262058677275;0,370711089010443;0,133391347588265;0,0954748881153655;0,181818181818182;0,363636363636364;0,0909090909090909;0,0909090909090909;216;2580;1177;1712;0,111111111111111;0,333333333333333;0;0;0;0
23;22B;13410,1;966,4;595,6;1;8357;0,264568625104703;0,0811295919588369;0,0964460930956085;0,244346057197559;0,222222222222222;0,0833333333333333;0,111111111111111;0,25;203;7711;665;1070;0,1;0,125;0;0,2;0,125;0,5
24;20C;14027,3;956,3;606,3;1;7948;0,0767488676396578;0,0123301459486663;0,157649723200805;0,0642929038751887;0,125;0,025;0,1;0,075;230;92;570;2173;0,142857142857143;0,2;0;0;0;0
25;25B;12726,2;949,063573883162;603,150171821306;1;7281;0,105892047795632;0,0682598544156023;0,186375497871172;0,349265210822689;0,166666666666667;0,125;0,25;0,375;192;2448;1032;771;0;0;0;0,25;0,25;0,25
26;16D;0;958,7;599;1;7139;0,185039921557641;0,0939907550077042;0,114301722930382;0,0336181538030536;0,241379310344828;0,103448275862069;0,137931034482759;0,0344827586206897;203;3798;403;2006;0,0909090909090909;0,142857142857143;0;0;0;0
