pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
14B;2771;l;Ordner;1;Kopfhoerer;0
7B;2021;l;Thermoskanne;0;Toaster;0
1A;3743;l;Melone;1;Orange;1
22B;3572;l;Feder;0;Elefant;0
2B;3620;l;Zollstock;1;Locher;0
13A;3852;l;Buch;1;Laptop;1
10B;3803;l;Brille;0;Buerste;0
19D;3507;r;Trommel;0;Hut;0
9C;3944;r;Wasserflasche;0;Tasse;1
17C;2109;r;Schuh;1;Erdbeeren;1
15B;2339;l;Handtuch;0;Wasserglas;0
8B;3940;l;Marmelade;0;Uhr;0
11B;2222;l;Stuhl;1;Eimer;1
26B;2701;l;Taschenlampe;1;Gluehbirne;1
20C;2750;r;Schuessel;0;Kissen;0
4A;3921;l;Kiste;0;Ventilator;0
24D;2306;r;Kanne;0;Blume;0
21B;2542;l;Handy;0;Stift;0
12B;3607;l;Fernglas;0;Kamera;0
16A;2703;l;Geldbeutel;0;Muetze;0
6A;3962;l;Globus;0;Obstschale;0
25C;3780;r;Kerze;0;Kaffeemuehle;0
18D;2161;r;Ukulele;0;Handbesen;0
23C;2710;r;Hammer;1;Saege;1
5C;2912;r;Blackroll;0;Foehn;0
3A;2260;l;Fahrradhelm;0;Stethoskop;0
