pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
5D;2995;r;Foehn;0;Blackroll;0
7B;2739;l;Thermoskanne;1;Toaster;1
22D;3348;r;Elefant;1;Feder;1
9B;3900;l;Wasserflasche;1;Tasse;1
25A;2462;l;Kaffeemuehle;0;Kerze;0
2C;3210;r;Zollstock ;1;Locher;0
15B;2647;l;Handtuch;0;Wasserglas;1
18A;3973;l;Ukulele;0;Handbesen;0
26C;2559;r;Taschenlampe;1;Gluehbirne;1
11B;3789;l;Stuhl;1;Eimer;1
20B;3362;l;Schuessel;1;Kissen;1
17C;2250;r;Schuh;0;Erdbeeren;0
24B;3176;l;Blume;1;Kanne ;1
4D;2280;r;Kiste ;1;Ventilator;0
1A;3904;l;Melone;1;Orange;1
19D;2741;r;Trommel;0;Hut;0
10A;3285;l;Buerste;1;Brille;1
3B;2015;l;Stethoskop;0;Fahrradhelm;0
6C;2491;r;Obstschale;1;Globus;1
13A;3017;l;Buch;1;Laptop;1
16B;2775;l;Muetze;0;Geldbeutel;0
21A;3674;l;Stift;0;Handy;1
8B;3532;l;Marmelade;0;Uhr;0
14C;3957;r;Ordner;1;Kopfhoerer;1
12D;2781;r;Kamera;0;Fernglas;0
23A;3100;l;Hammer;1;Saege;1
