pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
17C;3025;r;Schuh;0;Erdbeeren;0
14A;3773;l;Kopfhoerer;0;Ordner;0
19D;2516;r;Trommel;0;Hut;0
7D;2444;r;Toaster;0;Thermoskanne;0
16B;2202;l;Muetze;0;Geldbeutel;0
2B;3301;l;Zollstock;0;Locher;0
24D;3511;r;Kanne;0;Blume;0
22C;2928;r;Feder;0;Elefant;0
15C;3661;r;Handtuch;0;Wasserglas;0
20C;2924;r;Schuessel;0;Kissen;0
4C;2061;r;Ventilator;0;Kiste;0
1C;2868;r;Orange;0;Melone;0
8D;3647;r;Uhr;0;Marmelade;0
21D;3562;r;Stift;0;Handy;0
12B;3967;l;Fernglas;1;Kamera;1
9A;3240;l;Tasse;0;Wasserflasche;0
5D;2452;r;Foehn;0;Blackroll;1
10A;3928;l;Buerste;0;Brille;0
6C;3480;r;Obstschale;0;Globus;0
26C;3040;r;Taschenlampe;0;Gluehbirne;0
18B;2947;l;Handbesen;0;Ukulele;0
23B;3948;l;Saege;0;Hammer;1
13A;2602;l;Buch;0;Laptop;0
25A;2375;l;Kaffeemuehle;0;Kerze;0
11D;3503;r;Eimer;0;Stuhl;0
3A;3783;l;Fahrradhelm;0;Stethoskop;0
