pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
14C;2755;r;Ordner;0;Kopfhoerer;0
23B;2651;l;Saege;0;Hammer;0
26D;3524;r;Gluehbirne;0;Taschenlampe;0
11A;3850;l;Eimer;0;Stuhl;0
9B;2153;l;Wasserflasche;0;Tasse;0
1B;2155;l;Orange;0;Melone;0
12A;2496;l;Kamera;0;Fernglas;0
8D;3508;r;Uhr;0;Marmelade;0
17A;2424;l;Erdbeeren;0;Schuh;0
6D;2502;r;Globus;0;Obstschale;0
16D;2417;r;Geldbeutel;0;Muetze;0
22B;3350;l;Feder;0;Elefant;0
25C;3411;r;Kerze;0;Kaffeemuehle;0
20C;2867;r;Schuessel;0;Kissen;0
19B;3172;l;Hut;0;Trommel;0
7A;2036;l;Toaster ;0;Thermoskanne;0
24C;3645;r;Blume;0;Kanne;0
2C;2174;r;Zollstock ;0;Locher;0
18B;2923;l;Handbesen;0;Ukulele;0
15C;3000;r;Handtuch;0;Wasserglas;0
13C;2376;r;Laptop;1;Buch;0
3C;3967;r;Stethoskop;0;Fahrradhelm;0
21A;3490;l;Stift;0;Handy;1
10D;3234;r;Buerste;0;Brille;0
4C;3482;r;Ventilator;1;Kiste;0
5A;3966;l;Foehn;0;Blackroll;1
