pic;iti;gaze;gazedat;memgazedat;nongazedat;memnongazedat
3B;2791;l;Stethoskop;0;Fahrradhelm;0
10D;3624;r;Buerste;0;Brille;0
24B;2624;l;Blume;0;Kanne ;0
15A;3019;l;Wasserglas;0;Handtuch;0
18C;2968;r;Handbesen;0;Ukulele;0
21B;3809;l;Handy;0;Stift;0
20A;3311;l;Kissen;0;Schuessel;0
25C;3454;r;Kerze;0;Kaffeemuehle;0
13A;2364;l;Buch;0;Laptop;0
22C;2034;r;Feder;0;Elefant;0
23A;3697;l;Hammer;1;Saege;1
26B;2663;l;Taschenlampe;0;Gluehbirne;0
8D;3975;r;Uhr;0;Marmelade;0
1D;3117;r;Melone;1;Orange;1
4C;2234;r;Ventilator;1;Kiste;1
12C;3621;r;Fernglas;0;Kamera;0
6B;3116;l;Obstschale;1;Globus;0
14A;2232;l;Kopfhoerer;0;Ordner;0
19C;3599;r;Hut;0;Trommel;0
11C;3778;r;Stuhl;0;Eimer;0
5C;3042;r;Blackroll;0;Foehn;1
2B;2140;l;Zollstock;0;Locher;0
9B;3146;l;Wasserflasche;0;Tasse;1
17C;3739;r;Schuh;0;Erdbeeren;0
7A;3665;l;Toaster ;0;Thermoskanne;0
16A;3987;l;Geldbeutel;0;Muetze;0
